Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
76620,Antony and Cleopatra,Tragedy,Philo,1,1,1,"Nay, but this dotage of our general's",male,0.05
76621,Antony and Cleopatra,Tragedy,Philo,1,1,2,"O'erflows the measure: those his goodly eyes,",male,0.7
76622,Antony and Cleopatra,Tragedy,Philo,1,1,3,That o'er the files and musters of the war,male,0.0
76623,Antony and Cleopatra,Tragedy,Philo,1,1,4,"Have glow'd like plated Mars, now bend, now turn,",male,0.0
76624,Antony and Cleopatra,Tragedy,Philo,1,1,5,The office and devotion of their view,male,0.0
76625,Antony and Cleopatra,Tragedy,Philo,1,1,6,"Upon a tawny front: his captain's heart,",male,0.0
76626,Antony and Cleopatra,Tragedy,Philo,1,1,7,Which in the scuffles of great fights hath burst,male,0.8
76627,Antony and Cleopatra,Tragedy,Philo,1,1,8,"The buckles on his breast, reneges all temper,",male,0.0
76628,Antony and Cleopatra,Tragedy,Philo,1,1,9,And is become the bellows and the fan,male,0.0
76629,Antony and Cleopatra,Tragedy,Philo,1,1,10,To cool a gipsy's lust.,male,0.35
76630,Antony and Cleopatra,Tragedy,Philo,1,1,11,"Look, where they come:",male,0.0
76631,Antony and Cleopatra,Tragedy,Philo,1,1,12,"Take but good note, and you shall see in him.",male,0.7
76632,Antony and Cleopatra,Tragedy,Philo,1,1,13,The triple pillar of the world transform'd,male,0.0
76633,Antony and Cleopatra,Tragedy,Philo,1,1,14,Into a strumpet's fool: behold and see.,male,0.0
76634,Antony and Cleopatra,Tragedy,Cleopatra,1,1,15,"If it be love indeed, tell me how much.",female,0.35
76635,Antony and Cleopatra,Tragedy,Mark Antony,1,1,16,There's beggary in the love that can be reckon'd.,male,0.5
76636,Antony and Cleopatra,Tragedy,Cleopatra,1,1,17,I'll set a bourn how far to be beloved.,female,0.4
76637,Antony and Cleopatra,Tragedy,Mark Antony,1,1,18,"Then must thou needs find out new heaven, new earth.",male,0.14
76638,Antony and Cleopatra,Tragedy,Attendant,1,1,19,"News, my good lord, from Rome.",male,0.7
76639,Antony and Cleopatra,Tragedy,Mark Antony,1,1,20,Grates me: the sum.,male,0.0
76640,Antony and Cleopatra,Tragedy,Cleopatra,1,1,21,"Nay, hear them, Antony:",female,0.0
76641,Antony and Cleopatra,Tragedy,Cleopatra,1,1,22,"Fulvia perchance is angry; or, who knows",female,-0.5
76642,Antony and Cleopatra,Tragedy,Cleopatra,1,1,23,If the scarce-bearded Caesar have not sent,female,0.0
