Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
80185,Coriolanus,Tragedy,First Citizen,1,1,1,"Before we proceed any further, hear me speak.",male
80186,Coriolanus,Tragedy,All,1,1,2,"Speak, speak.",male
80187,Coriolanus,Tragedy,First Citizen,1,1,3,You are all resolved rather to die than to famish?,male
80188,Coriolanus,Tragedy,All,1,1,4,Resolved. resolved.,male
80189,Coriolanus,Tragedy,First Citizen,1,1,5,"First, you know Caius Marcius is chief enemy to the people.",male
80190,Coriolanus,Tragedy,All,1,1,6,"We know't, we know't.",male
80191,Coriolanus,Tragedy,First Citizen,1,1,7,"Let us kill him, and we'll have corn at our own price.",male
80192,Coriolanus,Tragedy,First Citizen,1,1,8,Is't a verdict?,male
80193,Coriolanus,Tragedy,All,1,1,9,"No more talking on't; let it be done: away, away!",male
80194,Coriolanus,Tragedy,Second Citizen,1,1,10,"One word, good citizens.",male
80195,Coriolanus,Tragedy,First Citizen,1,1,11,"We are accounted poor citizens, the patricians good.",male
80196,Coriolanus,Tragedy,First Citizen,1,1,12,What authority surfeits on would relieve us: if they,male
80197,Coriolanus,Tragedy,First Citizen,1,1,13,"would yield us but the superfluity, while it were",male
80198,Coriolanus,Tragedy,First Citizen,1,1,14,"wholesome, we might guess they relieved us humanely;",male
80199,Coriolanus,Tragedy,First Citizen,1,1,15,but they think we are too dear: the leanness that,male
80200,Coriolanus,Tragedy,First Citizen,1,1,16,"afflicts us, the object of our misery, is as an",male
80201,Coriolanus,Tragedy,First Citizen,1,1,17,inventory to particularise their abundance; our,male
80202,Coriolanus,Tragedy,First Citizen,1,1,18,sufferance is a gain to them Let us revenge this with,male
80203,Coriolanus,Tragedy,First Citizen,1,1,19,"our pikes, ere we become rakes: for the gods know I",male
80204,Coriolanus,Tragedy,First Citizen,1,1,20,"speak this in hunger for bread, not in thirst for revenge.",male
80205,Coriolanus,Tragedy,Second Citizen,1,1,21,Would you proceed especially against Caius Marcius?,male
80206,Coriolanus,Tragedy,All,1,1,22,Against him first: he's a very dog to the commonalty.,male
80207,Coriolanus,Tragedy,Second Citizen,1,1,23,Consider you what services he has done for his country?,male
80208,Coriolanus,Tragedy,First Citizen,1,1,24,Very well; and could be content to give him good,male
80209,Coriolanus,Tragedy,First Citizen,1,1,25,"report fort, but that he pays himself with being proud.",male
80210,Coriolanus,Tragedy,Second Citizen,1,1,26,"Nay, but speak not maliciously.",male
80211,Coriolanus,Tragedy,First Citizen,1,1,27,"I say unto you, what he hath done famously, he did",male
80212,Coriolanus,Tragedy,First Citizen,1,1,28,it to that end: though soft-conscienced men can be,male
80213,Coriolanus,Tragedy,First Citizen,1,1,29,content to say it was for his country he did it to,male
80214,Coriolanus,Tragedy,First Citizen,1,1,30,please his mother and to be partly proud; which he,male
80215,Coriolanus,Tragedy,First Citizen,1,1,31,"is, even till the altitude of his virtue.",male
80216,Coriolanus,Tragedy,Second Citizen,1,1,32,"What he cannot help in his nature, you account a",male
80217,Coriolanus,Tragedy,Second Citizen,1,1,33,vice in him. You must in no way say he is covetous.,male
80218,Coriolanus,Tragedy,First Citizen,1,1,34,"If I must not, I need not be barren of accusations;",male
80219,Coriolanus,Tragedy,First Citizen,1,1,35,"he hath faults, with surplus, to tire in repetition.",male
80220,Coriolanus,Tragedy,First Citizen,1,1,36,What shouts are these? The other side o' the city,male
80221,Coriolanus,Tragedy,First Citizen,1,1,37,is risen: why stay we prating here? to the Capitol!,male
80222,Coriolanus,Tragedy,All,1,1,38,"Come, come.",male
80223,Coriolanus,Tragedy,First Citizen,1,1,39,Soft! who comes here?,male
80224,Coriolanus,Tragedy,Second Citizen,1,1,40,Worthy Menenius Agrippa; one that hath always loved,male
80225,Coriolanus,Tragedy,Second Citizen,1,1,41,the people.,male
80226,Coriolanus,Tragedy,First Citizen,1,1,42,He's one honest enough: would all the rest were so!,male
80227,Coriolanus,Tragedy,Menenius,1,1,43,"What work's, my countrymen, in hand? where go you",male
80228,Coriolanus,Tragedy,Menenius,1,1,44,"With bats and clubs? The matter? speak, I pray you.",male
80229,Coriolanus,Tragedy,First Citizen,1,1,45,Our business is not unknown to the senate; they have,male
80230,Coriolanus,Tragedy,First Citizen,1,1,46,"had inkling this fortnight what we intend to do,",male
80231,Coriolanus,Tragedy,First Citizen,1,1,47,which now we'll show 'em in deeds. They say poor,male
80232,Coriolanus,Tragedy,First Citizen,1,1,48,suitors have strong breaths: they shall know we,male
80233,Coriolanus,Tragedy,First Citizen,1,1,49,have strong arms too.,male
80234,Coriolanus,Tragedy,Menenius,1,1,50,"Why, masters, my good friends, mine honest neighbours,",male
80235,Coriolanus,Tragedy,Menenius,1,1,51,Will you undo yourselves?,male
80236,Coriolanus,Tragedy,First Citizen,1,1,52,"We cannot, sir, we are undone already.",male
80237,Coriolanus,Tragedy,Menenius,1,1,53,"I tell you, friends, most charitable care",male
80238,Coriolanus,Tragedy,Menenius,1,1,54,"Have the patricians of you. For your wants,",male
80239,Coriolanus,Tragedy,Menenius,1,1,55,"Your suffering in this dearth, you may as well",male
80240,Coriolanus,Tragedy,Menenius,1,1,56,Strike at the heaven with your staves as lift them,male
80241,Coriolanus,Tragedy,Menenius,1,1,57,"Against the Roman state, whose course will on",male
80242,Coriolanus,Tragedy,Menenius,1,1,58,"The way it takes, cracking ten thousand curbs",male
80243,Coriolanus,Tragedy,Menenius,1,1,59,Of more strong link asunder than can ever,male
80244,Coriolanus,Tragedy,Menenius,1,1,60,"Appear in your impediment. For the dearth,",male
80245,Coriolanus,Tragedy,Menenius,1,1,61,"The gods, not the patricians, make it, and",male
80246,Coriolanus,Tragedy,Menenius,1,1,62,"Your knees to them, not arms, must help. Alack,",male
80247,Coriolanus,Tragedy,Menenius,1,1,63,You are transported by calamity,male
80248,Coriolanus,Tragedy,Menenius,1,1,64,"Thither where more attends you, and you slander",male
80249,Coriolanus,Tragedy,Menenius,1,1,65,"The helms o' the state, who care for you like fathers,",male
80250,Coriolanus,Tragedy,Menenius,1,1,66,When you curse them as enemies.,male
80251,Coriolanus,Tragedy,First Citizen,1,1,67,"Care for us! True, indeed! They ne'er cared for us",male
80252,Coriolanus,Tragedy,First Citizen,1,1,68,"yet: suffer us to famish, and their store-houses",male
80253,Coriolanus,Tragedy,First Citizen,1,1,69,"crammed with grain; make edicts for usury, to",male
80254,Coriolanus,Tragedy,First Citizen,1,1,70,support usurers; repeal daily any wholesome act,male
80255,Coriolanus,Tragedy,First Citizen,1,1,71,"established against the rich, and provide more",male
80256,Coriolanus,Tragedy,First Citizen,1,1,72,"piercing statutes daily, to chain up and restrain",male
