Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
7563,Cymbeline,Comedy,First Gentleman,1,1,1,You do not meet a man but frowns: our bloods,male,0.0
7564,Cymbeline,Comedy,First Gentleman,1,1,2,No more obey the heavens than our courtiers,male,-0.25
7565,Cymbeline,Comedy,First Gentleman,1,1,3,Still seem as does the king.,male,0.0
7566,Cymbeline,Comedy,Second Gentleman,1,1,4,But what's the matter?,male,0.0
7567,Cymbeline,Comedy,First Gentleman,1,1,5,"His daughter, and the heir of's kingdom, whom",male,0.0
7568,Cymbeline,Comedy,First Gentleman,1,1,6,He purposed to his wife's sole son--a widow,male,0.0
7569,Cymbeline,Comedy,First Gentleman,1,1,7,That late he married--hath referr'd herself,male,-0.3
7570,Cymbeline,Comedy,First Gentleman,1,1,8,Unto a poor but worthy gentleman: she's wedded;,male,-0.03
7571,Cymbeline,Comedy,First Gentleman,1,1,9,Her husband banish'd; she imprison'd: all,male,0.0
7572,Cymbeline,Comedy,First Gentleman,1,1,10,Is outward sorrow; though I think the king,male,0.0
7573,Cymbeline,Comedy,First Gentleman,1,1,11,Be touch'd at very heart.,male,0.2
7574,Cymbeline,Comedy,Second Gentleman,1,1,12,None but the king?,male,0.0
7575,Cymbeline,Comedy,First Gentleman,1,1,13,"He that hath lost her too; so is the queen,",male,0.0
7576,Cymbeline,Comedy,First Gentleman,1,1,14,"That most desired the match; but not a courtier,",male,0.5
7577,Cymbeline,Comedy,First Gentleman,1,1,15,Although they wear their faces to the bent,male,0.0
7578,Cymbeline,Comedy,First Gentleman,1,1,16,"Of the king's look's, hath a heart that is not",male,0.0
7579,Cymbeline,Comedy,First Gentleman,1,1,17,Glad at the thing they scowl at.,male,0.5
7580,Cymbeline,Comedy,Second Gentleman,1,1,18,And why so?,male,0.0
7581,Cymbeline,Comedy,First Gentleman,1,1,19,He that hath miss'd the princess is a thing,male,0.0
7582,Cymbeline,Comedy,First Gentleman,1,1,20,Too bad for bad report: and he that hath her--,male,-0.7
