Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
45901,"Henry IV, part 1",History,King Henry Iv,1,1,1,"So shaken as we are, so wan with care,",male
45902,"Henry IV, part 1",History,King Henry Iv,1,1,2,"Find we a time for frighted peace to pant,",male
45903,"Henry IV, part 1",History,King Henry Iv,1,1,3,And breathe short-winded accents of new broils,male
45904,"Henry IV, part 1",History,King Henry Iv,1,1,4,To be commenced in strands afar remote.,male
45905,"Henry IV, part 1",History,King Henry Iv,1,1,5,No more the thirsty entrance of this soil,male
45906,"Henry IV, part 1",History,King Henry Iv,1,1,6,Shall daub her lips with her own children's blood;,male
45907,"Henry IV, part 1",History,King Henry Iv,1,1,7,"Nor more shall trenching war channel her fields,",male
45908,"Henry IV, part 1",History,King Henry Iv,1,1,8,Nor bruise her flowerets with the armed hoofs,male
45909,"Henry IV, part 1",History,King Henry Iv,1,1,9,"Of hostile paces: those opposed eyes,",male
45910,"Henry IV, part 1",History,King Henry Iv,1,1,10,"Which, like the meteors of a troubled heaven,",male
45911,"Henry IV, part 1",History,King Henry Iv,1,1,11,"All of one nature, of one substance bred,",male
45912,"Henry IV, part 1",History,King Henry Iv,1,1,12,Did lately meet in the intestine shock,male
45913,"Henry IV, part 1",History,King Henry Iv,1,1,13,And furious close of civil butchery,male
45914,"Henry IV, part 1",History,King Henry Iv,1,1,14,"Shall now, in mutual well-beseeming ranks,",male
45915,"Henry IV, part 1",History,King Henry Iv,1,1,15,March all one way and be no more opposed,male
45916,"Henry IV, part 1",History,King Henry Iv,1,1,16,"Against acquaintance, kindred and allies:",male
45917,"Henry IV, part 1",History,King Henry Iv,1,1,17,"The edge of war, like an ill-sheathed knife,",male
45918,"Henry IV, part 1",History,King Henry Iv,1,1,18,"No more shall cut his master. Therefore, friends,",male
45919,"Henry IV, part 1",History,King Henry Iv,1,1,19,"As far as to the sepulchre of Christ,",male
45920,"Henry IV, part 1",History,King Henry Iv,1,1,20,"Whose soldier now, under whose blessed cross",male
45921,"Henry IV, part 1",History,King Henry Iv,1,1,21,"We are impressed and engaged to fight,",male
45922,"Henry IV, part 1",History,King Henry Iv,1,1,22,Forthwith a power of English shall we levy;,male
45923,"Henry IV, part 1",History,King Henry Iv,1,1,23,Whose arms were moulded in their mothers' womb,male
45924,"Henry IV, part 1",History,King Henry Iv,1,1,24,To chase these pagans in those holy fields,male
45925,"Henry IV, part 1",History,King Henry Iv,1,1,25,Over whose acres walk'd those blessed feet,male
45926,"Henry IV, part 1",History,King Henry Iv,1,1,26,Which fourteen hundred years ago were nail'd,male
45927,"Henry IV, part 1",History,King Henry Iv,1,1,27,For our advantage on the bitter cross.,male
45928,"Henry IV, part 1",History,King Henry Iv,1,1,28,"But this our purpose now is twelve month old,",male
45929,"Henry IV, part 1",History,King Henry Iv,1,1,29,And bootless 'tis to tell you we will go:,male
45930,"Henry IV, part 1",History,King Henry Iv,1,1,30,Therefore we meet not now. Then let me hear,male
45931,"Henry IV, part 1",History,King Henry Iv,1,1,31,"Of you, my gentle cousin Westmoreland,",male
45932,"Henry IV, part 1",History,King Henry Iv,1,1,32,What yesternight our council did decree,male
45933,"Henry IV, part 1",History,King Henry Iv,1,1,33,In forwarding this dear expedience.,male
45934,"Henry IV, part 1",History,Westmoreland,1,1,34,"My liege, this haste was hot in question,",male
45935,"Henry IV, part 1",History,Westmoreland,1,1,35,And many limits of the charge set down,male
45936,"Henry IV, part 1",History,Westmoreland,1,1,36,But yesternight: when all athwart there came,male
45937,"Henry IV, part 1",History,Westmoreland,1,1,37,A post from Wales loaden with heavy news;,male
45938,"Henry IV, part 1",History,Westmoreland,1,1,38,"Whose worst was, that the noble Mortimer,",male
45939,"Henry IV, part 1",History,Westmoreland,1,1,39,Leading the men of Herefordshire to fight,male
45940,"Henry IV, part 1",History,Westmoreland,1,1,40,"Against the irregular and wild Glendower,",male
45941,"Henry IV, part 1",History,Westmoreland,1,1,41,"Was by the rude hands of that Welshman taken,",male
45942,"Henry IV, part 1",History,Westmoreland,1,1,42,A thousand of his people butchered;,male
45943,"Henry IV, part 1",History,Westmoreland,1,1,43,"Upon whose dead corpse there was such misuse,",male
