Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
52190,Henry V,History,Chorus,1,0,1,"O for a Muse of fire, that would ascend",male
52191,Henry V,History,Chorus,1,0,2,"The brightest heaven of invention,",male
52192,Henry V,History,Chorus,1,0,3,"A kingdom for a stage, princes to act",male
52193,Henry V,History,Chorus,1,0,4,And monarchs to behold the swelling scene!,male
52194,Henry V,History,Chorus,1,0,5,"Then should the warlike Harry, like himself,",male
52195,Henry V,History,Chorus,1,0,6,"Assume the port of Mars; and at his heels,",male
52196,Henry V,History,Chorus,1,0,7,"Leash'd in like hounds, should famine, sword and fire",male
52197,Henry V,History,Chorus,1,0,8,"Crouch for employment. But pardon, and gentles all,",male
52198,Henry V,History,Chorus,1,0,9,The flat unraised spirits that have dared,male
52199,Henry V,History,Chorus,1,0,10,On this unworthy scaffold to bring forth,male
52200,Henry V,History,Chorus,1,0,11,So great an object: can this cockpit hold,male
52201,Henry V,History,Chorus,1,0,12,The vasty fields of France? or may we cram,male
52202,Henry V,History,Chorus,1,0,13,Within this wooden O the very casques,male
52203,Henry V,History,Chorus,1,0,14,That did affright the air at Agincourt?,male
52204,Henry V,History,Chorus,1,0,15,"O, pardon! since a crooked figure may",male
52205,Henry V,History,Chorus,1,0,16,Attest in little place a million;,male
52206,Henry V,History,Chorus,1,0,17,"And let us, ciphers to this great accompt,",male
52207,Henry V,History,Chorus,1,0,18,On your imaginary forces work.,male
52208,Henry V,History,Chorus,1,0,19,Suppose within the girdle of these walls,male
52209,Henry V,History,Chorus,1,0,20,"Are now confined two mighty monarchies,",male
52210,Henry V,History,Chorus,1,0,21,Whose high upreared and abutting fronts,male
52211,Henry V,History,Chorus,1,0,22,The perilous narrow ocean parts asunder:,male
52212,Henry V,History,Chorus,1,0,23,Piece out our imperfections with your thoughts;,male
52213,Henry V,History,Chorus,1,0,24,"Into a thousand parts divide on man,",male
52214,Henry V,History,Chorus,1,0,25,And make imaginary puissance;,male
52215,Henry V,History,Chorus,1,0,26,"Think when we talk of horses, that you see them",male
52216,Henry V,History,Chorus,1,0,27,Printing their proud hoofs i' the receiving earth;,male
52217,Henry V,History,Chorus,1,0,28,"For 'tis your thoughts that now must deck our kings,",male
52218,Henry V,History,Chorus,1,0,29,"Carry them here and there; jumping o'er times,",male
52219,Henry V,History,Chorus,1,0,30,Turning the accomplishment of many years,male
52220,Henry V,History,Chorus,1,0,31,"Into an hour-glass: for the which supply,",male
52221,Henry V,History,Chorus,1,0,32,Admit me Chorus to this history;,male
