Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
55420,"Henry VI, part 1",History,Bedford,1,1,1,"Hung be the heavens with black, yield day to night!",male,-0.21
55421,"Henry VI, part 1",History,Bedford,1,1,2,"Comets, importing change of times and states,",male,0.0
55422,"Henry VI, part 1",History,Bedford,1,1,3,"Brandish your crystal tresses in the sky,",male,0.0
55423,"Henry VI, part 1",History,Bedford,1,1,4,And with them scourge the bad revolting stars,male,-0.7
55424,"Henry VI, part 1",History,Bedford,1,1,5,That have consented unto Henry's death!,male,0.0
55425,"Henry VI, part 1",History,Bedford,1,1,6,"King Henry the Fifth, too famous to live long!",male,0.19
55426,"Henry VI, part 1",History,Bedford,1,1,7,England ne'er lost a king of so much worth.,male,0.3
55427,"Henry VI, part 1",History,Gloucester,1,1,8,England ne'er had a king until his time.,male,0.0
55428,"Henry VI, part 1",History,Gloucester,1,1,9,"Virtue he had, deserving to command:",male,0.6
55429,"Henry VI, part 1",History,Gloucester,1,1,10,His brandish'd sword did blind men with his beams:,male,-0.5
55430,"Henry VI, part 1",History,Gloucester,1,1,11,His arms spread wider than a dragon's wings;,male,0.0
55431,"Henry VI, part 1",History,Gloucester,1,1,12,"His sparking eyes, replete with wrathful fire,",male,0.0
55432,"Henry VI, part 1",History,Gloucester,1,1,13,More dazzled and drove back his enemies,male,0.25
55433,"Henry VI, part 1",History,Gloucester,1,1,14,Than mid-day sun fierce bent against their faces.,male,0.0
55434,"Henry VI, part 1",History,Gloucester,1,1,15,What should I say? his deeds exceed all speech:,male,0.0
55435,"Henry VI, part 1",History,Gloucester,1,1,16,He ne'er lift up his hand but conquered.,male,0.0
55436,"Henry VI, part 1",History,Exeter,1,1,17,We mourn in black: why mourn we not in blood?,male,-0.17
55437,"Henry VI, part 1",History,Exeter,1,1,18,Henry is dead and never shall revive:,male,-0.2
55438,"Henry VI, part 1",History,Exeter,1,1,19,"Upon a wooden coffin we attend,",male,0.0
55439,"Henry VI, part 1",History,Exeter,1,1,20,And death's dishonourable victory,male,0.0
55440,"Henry VI, part 1",History,Exeter,1,1,21,"We with our stately presence glorify,",male,0.0
55441,"Henry VI, part 1",History,Exeter,1,1,22,Like captives bound to a triumphant car.,male,0.0
55442,"Henry VI, part 1",History,Exeter,1,1,23,What! shall we curse the planets of mishap,male,0.0
55443,"Henry VI, part 1",History,Exeter,1,1,24,That plotted thus our glory's overthrow?,male,0.0
55444,"Henry VI, part 1",History,Exeter,1,1,25,Or shall we think the subtle-witted French,male,0.0
55445,"Henry VI, part 1",History,Exeter,1,1,26,"Conjurers and sorcerers, that afraid of him",male,-0.6
55446,"Henry VI, part 1",History,Exeter,1,1,27,By magic verses have contrived his end?,male,0.0
55447,"Henry VI, part 1",History,Exeter,1,1,28,BISHOP,male,0.0
55448,"Henry VI, part 1",History,Of Winchester,1,1,29,He was a king bless'd of the King of kings.,male,0.0
55449,"Henry VI, part 1",History,Of Winchester,1,1,30,Unto the French the dreadful judgement-day,male,-0.5
55450,"Henry VI, part 1",History,Of Winchester,1,1,31,So dreadful will not be as was his sight.,male,-1.0
55451,"Henry VI, part 1",History,Of Winchester,1,1,32,The battles of the Lord of hosts he fought:,male,0.0
55452,"Henry VI, part 1",History,Of Winchester,1,1,33,The church's prayers made him so prosperous.,male,0.0
55453,"Henry VI, part 1",History,Gloucester,1,1,34,"The church! where is it? Had not churchmen pray'd,",male,0.0
55454,"Henry VI, part 1",History,Gloucester,1,1,35,His thread of life had not so soon decay'd:,male,0.0
55455,"Henry VI, part 1",History,Gloucester,1,1,36,"None do you like but an effeminate prince,",male,0.0
55456,"Henry VI, part 1",History,Gloucester,1,1,37,"Whom, like a school-boy, you may over-awe.",male,0.0
55457,"Henry VI, part 1",History,Gloucester,1,1,38,BISHOP,male,0.0
55458,"Henry VI, part 1",History,Of Winchester,1,1,39,"Gloucester, whate'er we like, thou art protector",male,0.0
55459,"Henry VI, part 1",History,Of Winchester,1,1,40,And lookest to command the prince and realm.,male,0.0
55460,"Henry VI, part 1",History,Of Winchester,1,1,41,"Thy wife is proud; she holdeth thee in awe,",male,0.8
55461,"Henry VI, part 1",History,Of Winchester,1,1,42,More than God or religious churchmen may.,male,0.25
55462,"Henry VI, part 1",History,Gloucester,1,1,43,"Name not religion, for thou lovest the flesh,",male,0.0
55463,"Henry VI, part 1",History,Gloucester,1,1,44,And ne'er throughout the year to church thou go'st,male,0.0
55464,"Henry VI, part 1",History,Gloucester,1,1,45,Except it be to pray against thy foes.,male,0.0
55465,"Henry VI, part 1",History,Bedford,1,1,46,"Cease, cease these jars and rest your minds in peace:",male,0.0
55466,"Henry VI, part 1",History,Bedford,1,1,47,"Let's to the altar: heralds, wait on us:",male,0.0
55467,"Henry VI, part 1",History,Bedford,1,1,48,"Instead of gold, we'll offer up our arms:",male,0.0
