Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
58181,"Henry VI, part 2",History,Suffolk,1,1,1,As by your high imperial majesty,male
58182,"Henry VI, part 2",History,Suffolk,1,1,2,"I had in charge at my depart for France,",male
58183,"Henry VI, part 2",History,Suffolk,1,1,3,"As procurator to your excellence,",male
58184,"Henry VI, part 2",History,Suffolk,1,1,4,"To marry Princess Margaret for your grace,",male
58185,"Henry VI, part 2",History,Suffolk,1,1,5,"So, in the famous ancient city, Tours,",male
58186,"Henry VI, part 2",History,Suffolk,1,1,6,"In presence of the Kings of France and Sicil,",male
58187,"Henry VI, part 2",History,Suffolk,1,1,7,"The Dukes of Orleans, Calaber, Bretagne and Alencon,",male
58188,"Henry VI, part 2",History,Suffolk,1,1,8,"Seven earls, twelve barons and twenty reverend bishops,",male
58189,"Henry VI, part 2",History,Suffolk,1,1,9,I have perform'd my task and was espoused:,male
58190,"Henry VI, part 2",History,Suffolk,1,1,10,"And humbly now upon my bended knee,",male
58191,"Henry VI, part 2",History,Suffolk,1,1,11,"In sight of England and her lordly peers,",male
58192,"Henry VI, part 2",History,Suffolk,1,1,12,Deliver up my title in the queen,male
58193,"Henry VI, part 2",History,Suffolk,1,1,13,"To your most gracious hands, that are the substance",male
58194,"Henry VI, part 2",History,Suffolk,1,1,14,Of that great shadow I did represent;,male
58195,"Henry VI, part 2",History,Suffolk,1,1,15,"The happiest gift that ever marquess gave,",male
58196,"Henry VI, part 2",History,Suffolk,1,1,16,The fairest queen that ever king received.,male
58197,"Henry VI, part 2",History,King Henry Vi,1,1,17,"Suffolk, arise. Welcome, Queen Margaret:",male
58198,"Henry VI, part 2",History,King Henry Vi,1,1,18,I can express no kinder sign of love,male
58199,"Henry VI, part 2",History,King Henry Vi,1,1,19,"Than this kind kiss. O Lord, that lends me life,",male
58200,"Henry VI, part 2",History,King Henry Vi,1,1,20,Lend me a heart replete with thankfulness!,male
58201,"Henry VI, part 2",History,King Henry Vi,1,1,21,For thou hast given me in this beauteous face,male
58202,"Henry VI, part 2",History,King Henry Vi,1,1,22,"A world of earthly blessings to my soul,",male
58203,"Henry VI, part 2",History,King Henry Vi,1,1,23,If sympathy of love unite our thoughts.,male
58204,"Henry VI, part 2",History,Queen Margaret,1,1,24,"Great King of England and my gracious lord,",female
58205,"Henry VI, part 2",History,Queen Margaret,1,1,25,"The mutual conference that my mind hath had,",female
58206,"Henry VI, part 2",History,Queen Margaret,1,1,26,"By day, by night, waking and in my dreams,",female
58207,"Henry VI, part 2",History,Queen Margaret,1,1,27,"In courtly company or at my beads,",female
58208,"Henry VI, part 2",History,Queen Margaret,1,1,28,"With you, mine alder-liefest sovereign,",female
58209,"Henry VI, part 2",History,Queen Margaret,1,1,29,Makes me the bolder to salute my king,female
58210,"Henry VI, part 2",History,Queen Margaret,1,1,30,"With ruder terms, such as my wit affords",female
58211,"Henry VI, part 2",History,Queen Margaret,1,1,31,And over-joy of heart doth minister.,female
58212,"Henry VI, part 2",History,King Henry Vi,1,1,32,"Her sight did ravish; but her grace in speech,",male
58213,"Henry VI, part 2",History,King Henry Vi,1,1,33,"Her words y-clad with wisdom's majesty,",male
58214,"Henry VI, part 2",History,King Henry Vi,1,1,34,Makes me from wondering fall to weeping joys;,male
58215,"Henry VI, part 2",History,King Henry Vi,1,1,35,Such is the fulness of my heart's content.,male
58216,"Henry VI, part 2",History,King Henry Vi,1,1,36,"Lords, with one cheerful voice welcome my love.",male
58217,"Henry VI, part 2",History,All,1,1,37,"[Kneeling]  Long live Queen Margaret, England's",male
