Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
64234,Henry VIII,History,Buckingham,1,1,1,"Good morrow, and well met. How have ye done",male
64235,Henry VIII,History,Buckingham,1,1,2,Since last we saw in France?,male
64236,Henry VIII,History,Norfolk,1,1,3,"I thank your grace,",male
64237,Henry VIII,History,Norfolk,1,1,4,Healthful; and ever since a fresh admirer,male
64238,Henry VIII,History,Norfolk,1,1,5,Of what I saw there.,male
64239,Henry VIII,History,Buckingham,1,1,6,An untimely ague,male
64240,Henry VIII,History,Buckingham,1,1,7,Stay'd me a prisoner in my chamber when,male
64241,Henry VIII,History,Buckingham,1,1,8,"Those suns of glory, those two lights of men,",male
64242,Henry VIII,History,Buckingham,1,1,9,Met in the vale of Andren.,male
64243,Henry VIII,History,Norfolk,1,1,10,'Twixt Guynes and Arde:,male
64244,Henry VIII,History,Norfolk,1,1,11,"I was then present, saw them salute on horseback;",male
64245,Henry VIII,History,Norfolk,1,1,12,"Beheld them, when they lighted, how they clung",male
64246,Henry VIII,History,Norfolk,1,1,13,"In their embracement, as they grew together;",male
64247,Henry VIII,History,Norfolk,1,1,14,"Which had they, what four throned ones could have weigh'd",male
64248,Henry VIII,History,Norfolk,1,1,15,Such a compounded one?,male
64249,Henry VIII,History,Buckingham,1,1,16,All the whole time,male
64250,Henry VIII,History,Buckingham,1,1,17,I was my chamber's prisoner.,male
64251,Henry VIII,History,Norfolk,1,1,18,Then you lost,male
64252,Henry VIII,History,Norfolk,1,1,19,"The view of earthly glory: men might say,",male
64253,Henry VIII,History,Norfolk,1,1,20,"Till this time pomp was single, but now married",male
64254,Henry VIII,History,Norfolk,1,1,21,To one above itself. Each following day,male
64255,Henry VIII,History,Norfolk,1,1,22,"Became the next day's master, till the last",male
64256,Henry VIII,History,Norfolk,1,1,23,"Made former wonders its. To-day the French,",male
64257,Henry VIII,History,Norfolk,1,1,24,"All clinquant, all in gold, like heathen gods,",male
64258,Henry VIII,History,Norfolk,1,1,25,"Shone down the English; and, to-morrow, they",male
64259,Henry VIII,History,Norfolk,1,1,26,Made Britain India: every man that stood,male
64260,Henry VIII,History,Norfolk,1,1,27,Show'd like a mine. Their dwarfish pages were,male
64261,Henry VIII,History,Norfolk,1,1,28,"As cherubins, all guilt: the madams too,",male
64262,Henry VIII,History,Norfolk,1,1,29,"Not used to toil, did almost sweat to bear",male
64263,Henry VIII,History,Norfolk,1,1,30,"The pride upon them, that their very labour",male
64264,Henry VIII,History,Norfolk,1,1,31,Was to them as a painting: now this masque,male
64265,Henry VIII,History,Norfolk,1,1,32,Was cried incomparable; and the ensuing night,male
64266,Henry VIII,History,Norfolk,1,1,33,"Made it a fool and beggar. The two kings,",male
64267,Henry VIII,History,Norfolk,1,1,34,"Equal in lustre, were now best, now worst,",male
64268,Henry VIII,History,Norfolk,1,1,35,"As presence did present them; him in eye,",male
64269,Henry VIII,History,Norfolk,1,1,36,"Still him in praise: and, being present both",male
64270,Henry VIII,History,Norfolk,1,1,37,'Twas said they saw but one; and no discerner,male
64271,Henry VIII,History,Norfolk,1,1,38,Durst wag his tongue in censure. When these suns--,male
64272,Henry VIII,History,Norfolk,1,1,39,For so they phrase 'em--by their heralds challenged,male
64273,Henry VIII,History,Norfolk,1,1,40,"The noble spirits to arms, they did perform",male
64274,Henry VIII,History,Norfolk,1,1,41,"Beyond thought's compass; that former fabulous story,",male
64275,Henry VIII,History,Norfolk,1,1,42,"Being now seen possible enough, got credit,",male
64276,Henry VIII,History,Norfolk,1,1,43,That Bevis was believed.,male
64277,Henry VIII,History,Buckingham,1,1,44,"O, you go far.",male
64278,Henry VIII,History,Norfolk,1,1,45,As I belong to worship and affect,male
64279,Henry VIII,History,Norfolk,1,1,46,"In honour honesty, the tract of every thing",male
64280,Henry VIII,History,Norfolk,1,1,47,"Would by a good discourser lose some life,",male
64281,Henry VIII,History,Norfolk,1,1,48,Which action's self was tongue to. All was royal;,male
64282,Henry VIII,History,Norfolk,1,1,49,To the disposing of it nought rebell'd.,male
64283,Henry VIII,History,Norfolk,1,1,50,Order gave each thing view; the office did,male
64284,Henry VIII,History,Norfolk,1,1,51,Distinctly his full function.,male
64285,Henry VIII,History,Buckingham,1,1,52,"Who did guide,",male
64286,Henry VIII,History,Buckingham,1,1,53,"I mean, who set the body and the limbs",male
64287,Henry VIII,History,Buckingham,1,1,54,"Of this great sport together, as you guess?",male
64288,Henry VIII,History,Norfolk,1,1,55,"One, certes, that promises no element",male
64289,Henry VIII,History,Norfolk,1,1,56,In such a business.,male
64290,Henry VIII,History,Buckingham,1,1,57,"I pray you, who, my lord?",male
64291,Henry VIII,History,Norfolk,1,1,58,All this was order'd by the good discretion,male
64292,Henry VIII,History,Norfolk,1,1,59,Of the right reverend Cardinal of York.,male
64293,Henry VIII,History,Buckingham,1,1,60,The devil speed him! no man's pie is freed,male
64294,Henry VIII,History,Buckingham,1,1,61,From his ambitious finger. What had he,male
64295,Henry VIII,History,Buckingham,1,1,62,To do in these fierce vanities? I wonder,male
64296,Henry VIII,History,Buckingham,1,1,63,That such a keech can with his very bulk,male
64297,Henry VIII,History,Buckingham,1,1,64,Take up the rays o' the beneficial sun,male
64298,Henry VIII,History,Buckingham,1,1,65,And keep it from the earth.,male
64299,Henry VIII,History,Norfolk,1,1,66,"Surely, sir,",male
64300,Henry VIII,History,Norfolk,1,1,67,There's in him stuff that puts him to these ends;,male
64301,Henry VIII,History,Norfolk,1,1,68,"For, being not propp'd by ancestry, whose grace",male
64302,Henry VIII,History,Norfolk,1,1,69,"Chalks successors their way, nor call'd upon",male
64303,Henry VIII,History,Norfolk,1,1,70,For high feats done to the crown; neither allied,male
64304,Henry VIII,History,Norfolk,1,1,71,"For eminent assistants; but, spider-like,",male
64305,Henry VIII,History,Norfolk,1,1,72,"Out of his self-drawing web, he gives us note,",male
64306,Henry VIII,History,Norfolk,1,1,73,The force of his own merit makes his way,male
64307,Henry VIII,History,Norfolk,1,1,74,"A gift that heaven gives for him, which buys",male
64308,Henry VIII,History,Norfolk,1,1,75,A place next to the king.,male
64309,Henry VIII,History,Abergavenny,1,1,76,I cannot tell,male
64310,Henry VIII,History,Abergavenny,1,1,77,"What heaven hath given him,--let some graver eye",male
64311,Henry VIII,History,Abergavenny,1,1,78,Pierce into that; but I can see his pride,male
64312,Henry VIII,History,Abergavenny,1,1,79,"Peep through each part of him: whence has he that,",male
64313,Henry VIII,History,Abergavenny,1,1,80,"If not from hell? the devil is a niggard,",male
64314,Henry VIII,History,Abergavenny,1,1,81,"Or has given all before, and he begins",male
64315,Henry VIII,History,Abergavenny,1,1,82,A new hell in himself.,male
64316,Henry VIII,History,Buckingham,1,1,83,"Why the devil,",male
64317,Henry VIII,History,Buckingham,1,1,84,"Upon this French going out, took he upon him,",male
64318,Henry VIII,History,Buckingham,1,1,85,"Without the privity o' the king, to appoint",male
64319,Henry VIII,History,Buckingham,1,1,86,Who should attend on him? He makes up the file,male
64320,Henry VIII,History,Buckingham,1,1,87,Of all the gentry; for the most part such,male
64321,Henry VIII,History,Buckingham,1,1,88,To whom as great a charge as little honour,male
64322,Henry VIII,History,Buckingham,1,1,89,"He meant to lay upon: and his own letter,",male
64323,Henry VIII,History,Buckingham,1,1,90,"The honourable board of council out,",male
64324,Henry VIII,History,Buckingham,1,1,91,Must fetch him in the papers.,male
64325,Henry VIII,History,Abergavenny,1,1,92,I do know,male
64326,Henry VIII,History,Abergavenny,1,1,93,"Kinsmen of mine, three at the least, that have",male
64327,Henry VIII,History,Abergavenny,1,1,94,"By this so sickened their estates, that never",male
64328,Henry VIII,History,Abergavenny,1,1,95,They shall abound as formerly.,male
64329,Henry VIII,History,Buckingham,1,1,96,"O, many",male
64330,Henry VIII,History,Buckingham,1,1,97,Have broke their backs with laying manors on 'em,male
64331,Henry VIII,History,Buckingham,1,1,98,For this great journey. What did this vanity,male
64332,Henry VIII,History,Buckingham,1,1,99,But minister communication of,male
64333,Henry VIII,History,Buckingham,1,1,100,A most poor issue?,male
64334,Henry VIII,History,Norfolk,1,1,101,"Grievingly I think,",male
64335,Henry VIII,History,Norfolk,1,1,102,The peace between the French and us not values,male
64336,Henry VIII,History,Norfolk,1,1,103,The cost that did conclude it.,male
64337,Henry VIII,History,Buckingham,1,1,104,"Every man,",male
64338,Henry VIII,History,Buckingham,1,1,105,"After the hideous storm that follow'd, was",male
64339,Henry VIII,History,Buckingham,1,1,106,"A thing inspired; and, not consulting, broke",male
64340,Henry VIII,History,Buckingham,1,1,107,"Into a general prophecy; That this tempest,",male
64341,Henry VIII,History,Buckingham,1,1,108,"Dashing the garment of this peace, aboded",male
64342,Henry VIII,History,Buckingham,1,1,109,The sudden breach on't.,male
64343,Henry VIII,History,Norfolk,1,1,110,Which is budded out;,male
64344,Henry VIII,History,Norfolk,1,1,111,"For France hath flaw'd the league, and hath attach'd",male
64345,Henry VIII,History,Norfolk,1,1,112,Our merchants' goods at Bourdeaux.,male
64346,Henry VIII,History,Abergavenny,1,1,113,Is it therefore,male
64347,Henry VIII,History,Abergavenny,1,1,114,The ambassador is silenced?,male
64348,Henry VIII,History,Norfolk,1,1,115,"Marry, is't.",male
64349,Henry VIII,History,Abergavenny,1,1,116,A proper title of a peace; and purchased,male
64350,Henry VIII,History,Abergavenny,1,1,117,At a superfluous rate!,male
64351,Henry VIII,History,Buckingham,1,1,118,"Why, all this business",male
64352,Henry VIII,History,Buckingham,1,1,119,Our reverend cardinal carried.,male
