Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
87969,Julius Caesar,Tragedy,Flavius,1,1,1,"Hence! home, you idle creatures get you home:",male
87970,Julius Caesar,Tragedy,Flavius,1,1,2,"Is this a holiday? what! know you not,",male
87971,Julius Caesar,Tragedy,Flavius,1,1,3,"Being mechanical, you ought not walk",male
87972,Julius Caesar,Tragedy,Flavius,1,1,4,Upon a labouring day without the sign,male
87973,Julius Caesar,Tragedy,Flavius,1,1,5,"Of your profession? Speak, what trade art thou?",male
87974,Julius Caesar,Tragedy,First Commoner,1,1,6,"Why, sir, a carpenter.",male
87975,Julius Caesar,Tragedy,Marullus,1,1,7,Where is thy leather apron and thy rule?,male
87976,Julius Caesar,Tragedy,Marullus,1,1,8,What dost thou with thy best apparel on?,male
87977,Julius Caesar,Tragedy,Marullus,1,1,9,"You, sir, what trade are you?",male
87978,Julius Caesar,Tragedy,Second Commoner,1,1,10,"Truly, sir, in respect of a fine workman, I am but,",male
87979,Julius Caesar,Tragedy,Second Commoner,1,1,11,"as you would say, a cobbler.",male
87980,Julius Caesar,Tragedy,Marullus,1,1,12,But what trade art thou? answer me directly.,male
87981,Julius Caesar,Tragedy,Second Commoner,1,1,13,"A trade, sir, that, I hope, I may use with a safe",male
87982,Julius Caesar,Tragedy,Second Commoner,1,1,14,"conscience; which is, indeed, sir, a mender of bad soles.",male
87983,Julius Caesar,Tragedy,Marullus,1,1,15,"What trade, thou knave? thou naughty knave, what trade?",male
87984,Julius Caesar,Tragedy,Second Commoner,1,1,16,"Nay, I beseech you, sir, be not out with me: yet,",male
87985,Julius Caesar,Tragedy,Second Commoner,1,1,17,"if you be out, sir, I can mend you.",male
87986,Julius Caesar,Tragedy,Marullus,1,1,18,"What meanest thou by that? mend me, thou saucy fellow!",male
87987,Julius Caesar,Tragedy,Second Commoner,1,1,19,"Why, sir, cobble you.",male
87988,Julius Caesar,Tragedy,Flavius,1,1,20,"Thou art a cobbler, art thou?",male
87989,Julius Caesar,Tragedy,Second Commoner,1,1,21,"Truly, sir, all that I live by is with the awl: I",male
87990,Julius Caesar,Tragedy,Second Commoner,1,1,22,"meddle with no tradesman's matters, nor women's",male
87991,Julius Caesar,Tragedy,Second Commoner,1,1,23,"matters, but with awl. I am, indeed, sir, a surgeon",male
87992,Julius Caesar,Tragedy,Second Commoner,1,1,24,"to old shoes; when they are in great danger, I",male
87993,Julius Caesar,Tragedy,Second Commoner,1,1,25,recover them. As proper men as ever trod upon,male
87994,Julius Caesar,Tragedy,Second Commoner,1,1,26,neat's leather have gone upon my handiwork.,male
87995,Julius Caesar,Tragedy,Flavius,1,1,27,But wherefore art not in thy shop today?,male
87996,Julius Caesar,Tragedy,Flavius,1,1,28,Why dost thou lead these men about the streets?,male
87997,Julius Caesar,Tragedy,Second Commoner,1,1,29,"Truly, sir, to wear out their shoes, to get myself",male
87998,Julius Caesar,Tragedy,Second Commoner,1,1,30,"into more work. But, indeed, sir, we make holiday,",male
87999,Julius Caesar,Tragedy,Second Commoner,1,1,31,to see Caesar and to rejoice in his triumph.,male
88000,Julius Caesar,Tragedy,Marullus,1,1,32,Wherefore rejoice? What conquest brings he home?,male
88001,Julius Caesar,Tragedy,Marullus,1,1,33,"What tributaries follow him to Rome,",male
88002,Julius Caesar,Tragedy,Marullus,1,1,34,To grace in captive bonds his chariot-wheels?,male
88003,Julius Caesar,Tragedy,Marullus,1,1,35,"You blocks, you stones, you worse than senseless things!",male
88004,Julius Caesar,Tragedy,Marullus,1,1,36,"O you hard hearts, you cruel men of Rome,",male
88005,Julius Caesar,Tragedy,Marullus,1,1,37,Knew you not Pompey? Many a time and oft,male
88006,Julius Caesar,Tragedy,Marullus,1,1,38,"Have you climb'd up to walls and battlements,",male
88007,Julius Caesar,Tragedy,Marullus,1,1,39,"To towers and windows, yea, to chimney-tops,",male
88008,Julius Caesar,Tragedy,Marullus,1,1,40,"Your infants in your arms, and there have sat",male
88009,Julius Caesar,Tragedy,Marullus,1,1,41,"The livelong day, with patient expectation,",male
88010,Julius Caesar,Tragedy,Marullus,1,1,42,To see great Pompey pass the streets of Rome:,male
88011,Julius Caesar,Tragedy,Marullus,1,1,43,"And when you saw his chariot but appear,",male
88012,Julius Caesar,Tragedy,Marullus,1,1,44,"Have you not made an universal shout,",male
88013,Julius Caesar,Tragedy,Marullus,1,1,45,"That Tiber trembled underneath her banks,",male
88014,Julius Caesar,Tragedy,Marullus,1,1,46,To hear the replication of your sounds,male
88015,Julius Caesar,Tragedy,Marullus,1,1,47,Made in her concave shores?,male
88016,Julius Caesar,Tragedy,Marullus,1,1,48,And do you now put on your best attire?,male
88017,Julius Caesar,Tragedy,Marullus,1,1,49,And do you now cull out a holiday?,male
88018,Julius Caesar,Tragedy,Marullus,1,1,50,And do you now strew flowers in his way,male
88019,Julius Caesar,Tragedy,Marullus,1,1,51,That comes in triumph over Pompey's blood? Be gone!,male
88020,Julius Caesar,Tragedy,Marullus,1,1,52,"Run to your houses, fall upon your knees,",male
88021,Julius Caesar,Tragedy,Marullus,1,1,53,Pray to the gods to intermit the plague,male
88022,Julius Caesar,Tragedy,Marullus,1,1,54,That needs must light on this ingratitude.,male
88023,Julius Caesar,Tragedy,Flavius,1,1,55,"Go, go, good countrymen, and, for this fault,",male
88024,Julius Caesar,Tragedy,Flavius,1,1,56,Assemble all the poor men of your sort;,male
88025,Julius Caesar,Tragedy,Flavius,1,1,57,"Draw them to Tiber banks, and weep your tears",male
88026,Julius Caesar,Tragedy,Flavius,1,1,58,"Into the channel, till the lowest stream",male
88027,Julius Caesar,Tragedy,Flavius,1,1,59,Do kiss the most exalted shores of all.,male
88028,Julius Caesar,Tragedy,Flavius,1,1,60,See whether their basest metal be not moved;,male
88029,Julius Caesar,Tragedy,Flavius,1,1,61,They vanish tongue-tied in their guiltiness.,male
88030,Julius Caesar,Tragedy,Flavius,1,1,62,Go you down that way towards the Capitol;,male
88031,Julius Caesar,Tragedy,This Way Will I,1,1,63,"disrobe the images,",male
88032,Julius Caesar,Tragedy,This Way Will I,1,1,64,If you do find them deck'd with ceremonies.,male
88033,Julius Caesar,Tragedy,Marullus,1,1,65,May we do so?,male
88034,Julius Caesar,Tragedy,Marullus,1,1,66,You know it is the feast of Lupercal.,male
88035,Julius Caesar,Tragedy,Flavius,1,1,67,It is no matter; let no images,male
88036,Julius Caesar,Tragedy,Flavius,1,1,68,"Be hung with Caesar's trophies. I'll about,",male
88037,Julius Caesar,Tragedy,Flavius,1,1,69,And drive away the vulgar from the streets:,male
88038,Julius Caesar,Tragedy,Flavius,1,1,70,"So do you too, where you perceive them thick.",male
88039,Julius Caesar,Tragedy,Flavius,1,1,71,These growing feathers pluck'd from Caesar's wing,male
88040,Julius Caesar,Tragedy,Flavius,1,1,72,"Will make him fly an ordinary pitch,",male
88041,Julius Caesar,Tragedy,Flavius,1,1,73,Who else would soar above the view of men,male
88042,Julius Caesar,Tragedy,Flavius,1,1,74,And keep us all in servile fearfulness.,male
88043,Julius Caesar,Tragedy,Caesar,1,2,1,Calpurnia!,male
88044,Julius Caesar,Tragedy,Casca,1,2,2,"Peace, ho! Caesar speaks.",male
88045,Julius Caesar,Tragedy,Caesar,1,2,3,Calpurnia!,male
88046,Julius Caesar,Tragedy,Calpurnia,1,2,4,"Here, my lord.",female
88047,Julius Caesar,Tragedy,Caesar,1,2,5,"Stand you directly in Antonius' way,",male
88048,Julius Caesar,Tragedy,Caesar,1,2,6,When he doth run his course. Antonius!,male
88049,Julius Caesar,Tragedy,Antony,1,2,7,"Caesar, my lord?",male
88050,Julius Caesar,Tragedy,Caesar,1,2,8,"Forget not, in your speed, Antonius,",male
88051,Julius Caesar,Tragedy,Caesar,1,2,9,"To touch Calpurnia; for our elders say,",male
