Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
67470,King John,History,King John,1,1,1,"Now, say, Chatillon, what would France with us?",male,0.0
67471,King John,History,Chatillon,1,1,2,"Thus, after greeting, speaks the King of France",male,0.0
67472,King John,History,Chatillon,1,1,3,"In my behavior to the majesty,",male,0.0
67473,King John,History,Chatillon,1,1,4,"The borrow'd majesty, of England here.",male,0.0
67474,King John,History,Queen Elinor,1,1,5,A strange beginning: 'borrow'd majesty!',female,-0.06
67475,King John,History,King John,1,1,6,"Silence, good mother; hear the embassy.",male,0.7
67476,King John,History,Chatillon,1,1,7,"Philip of France, in right and true behalf",male,0.32
67477,King John,History,Chatillon,1,1,8,"Of thy deceased brother Geffrey's son,",male,0.0
67478,King John,History,Chatillon,1,1,9,"Arthur Plantagenet, lays most lawful claim",male,0.25
67479,King John,History,Chatillon,1,1,10,"To this fair island and the territories,",male,0.7
67480,King John,History,Chatillon,1,1,11,"To Ireland, Poictiers, Anjou, Touraine, Maine,",male,0.0
67481,King John,History,Chatillon,1,1,12,Desiring thee to lay aside the sword,male,0.0
67482,King John,History,Chatillon,1,1,13,"Which sways usurpingly these several titles,",male,0.0
67483,King John,History,Chatillon,1,1,14,"And put these same into young Arthur's hand,",male,0.05
67484,King John,History,Chatillon,1,1,15,Thy nephew and right royal sovereign.,male,0.29
67485,King John,History,King John,1,1,16,What follows if we disallow of this?,male,0.0
67486,King John,History,Chatillon,1,1,17,"The proud control of fierce and bloody war,",male,0.0
67487,King John,History,Chatillon,1,1,18,To enforce these rights so forcibly withheld.,male,0.5
67488,King John,History,King John,1,1,19,"Here have we war for war and blood for blood,",male,0.0
67489,King John,History,King John,1,1,20,Controlment for controlment: so answer France.,male,0.0
67490,King John,History,Chatillon,1,1,21,"Then take my king's defiance from my mouth,",male,0.0
67491,King John,History,Chatillon,1,1,22,The farthest limit of my embassy.,male,0.0
67492,King John,History,King John,1,1,23,"Bear mine to him, and so depart in peace:",male,0.0
67493,King John,History,King John,1,1,24,Be thou as lightning in the eyes of France;,male,0.0
67494,King John,History,King John,1,1,25,"For ere thou canst report I will be there,",male,0.0
67495,King John,History,King John,1,1,26,The thunder of my cannon shall be heard:,male,0.0
67496,King John,History,King John,1,1,27,So hence! Be thou the trumpet of our wrath,male,0.0
67497,King John,History,King John,1,1,28,And sullen presage of your own decay.,male,0.6
67498,King John,History,King John,1,1,29,An honourable conduct let him have:,male,0.0
67499,King John,History,King John,1,1,30,"Pembroke, look to 't. Farewell, Chatillon.",male,0.0
67500,King John,History,Queen Elinor,1,1,31,"What now, my son! have I not ever said",female,0.0
67501,King John,History,Queen Elinor,1,1,32,How that ambitious Constance would not cease,female,0.25
67502,King John,History,Queen Elinor,1,1,33,"Till she had kindled France and all the world,",female,0.0
67503,King John,History,Queen Elinor,1,1,34,Upon the right and party of her son?,female,0.29
67504,King John,History,Queen Elinor,1,1,35,This might have been prevented and made whole,female,0.2
67505,King John,History,Queen Elinor,1,1,36,"With very easy arguments of love,",female,0.53
67506,King John,History,Queen Elinor,1,1,37,Which now the manage of two kingdoms must,female,0.0
67507,King John,History,Queen Elinor,1,1,38,With fearful bloody issue arbitrate.,female,-0.85
67508,King John,History,King John,1,1,39,Our strong possession and our right for us.,male,0.36
67509,King John,History,Queen Elinor,1,1,40,"Your strong possession much more than your right,",female,0.41
67510,King John,History,Queen Elinor,1,1,41,Or else it must go wrong with you and me:,female,-0.5
67511,King John,History,Queen Elinor,1,1,42,"So much my conscience whispers in your ear,",female,0.2
67512,King John,History,Queen Elinor,1,1,43,Which none but heaven and you and I shall hear.,female,0.0
67513,King John,History,Essex,1,1,44,"My liege, here is the strangest controversy",male,0.0
67514,King John,History,Essex,1,1,45,"Come from country to be judged by you,",male,0.0
67515,King John,History,Essex,1,1,46,That e'er I heard: shall I produce the men?,male,0.0
67516,King John,History,King John,1,1,47,Let them approach.,male,0.0
67517,King John,History,King John,1,1,48,Our abbeys and our priories shall pay,male,0.0
67518,King John,History,King John,1,1,49,This expedition's charge.,male,0.0
67519,King John,History,King John,1,1,50,What men are you?,male,0.0
67520,King John,History,Bastard,1,1,51,"Your faithful subject I, a gentleman",male,-0.17
67521,King John,History,Bastard,1,1,52,"Born in Northamptonshire and eldest son,",male,0.0
67522,King John,History,Bastard,1,1,53,"As I suppose, to Robert Faulconbridge,",male,0.0
67523,King John,History,Bastard,1,1,54,"A soldier, by the honour-giving hand",male,0.0
67524,King John,History,Bastard,1,1,55,Of Coeur-de-lion knighted in the field.,male,0.0
67525,King John,History,King John,1,1,56,What art thou?,male,0.0
67526,King John,History,Robert,1,1,57,The son and heir to that same Faulconbridge.,male,0.0
67527,King John,History,King John,1,1,58,"Is that the elder, and art thou the heir?",male,0.0
67528,King John,History,King John,1,1,59,"You came not of one mother then, it seems.",male,0.0
67529,King John,History,Bastard,1,1,60,"Most certain of one mother, mighty king;",male,0.37
67530,King John,History,Bastard,1,1,61,"That is well known; and, as I think, one father:",male,0.0
67531,King John,History,Bastard,1,1,62,But for the certain knowledge of that truth,male,0.21
67532,King John,History,Bastard,1,1,63,I put you o'er to heaven and to my mother:,male,0.0
67533,King John,History,Bastard,1,1,64,"Of that I doubt, as all men's children may.",male,0.0
67534,King John,History,Queen Elinor,1,1,65,"Out on thee, rude man! thou dost shame thy mother",female,-0.38
67535,King John,History,Queen Elinor,1,1,66,And wound her honour with this diffidence.,female,0.0
67536,King John,History,Bastard,1,1,67,"I, madam? no, I have no reason for it;",male,0.0
67537,King John,History,Bastard,1,1,68,That is my brother's plea and none of mine;,male,0.0
67538,King John,History,Bastard,1,1,69,"The which if he can prove, a' pops me out",male,0.0
67539,King John,History,Bastard,1,1,70,At least from fair five hundred pound a year:,male,0.2
67540,King John,History,Bastard,1,1,71,Heaven guard my mother's honour and my land!,male,0.0
67541,King John,History,King John,1,1,72,"A good blunt fellow. Why, being younger born,",male,0.35
67542,King John,History,King John,1,1,73,Doth he lay claim to thine inheritance?,male,0.0
67543,King John,History,Bastard,1,1,74,"I know not why, except to get the land.",male,0.0
67544,King John,History,Bastard,1,1,75,But once he slander'd me with bastardy:,male,0.0
67545,King John,History,Bastard,1,1,76,"But whether I be as true begot or no,",male,0.35
67546,King John,History,Bastard,1,1,77,"That still I lay upon my mother's head,",male,0.0
67547,King John,History,Bastard,1,1,78,"But that I am as well begot, my liege,--",male,0.0
67548,King John,History,Bastard,1,1,79,Fair fall the bones that took the pains for me!--,male,0.88
67549,King John,History,Bastard,1,1,80,Compare our faces and be judge yourself.,male,0.0
67550,King John,History,Bastard,1,1,81,If old sir Robert did beget us both,male,0.1
67551,King John,History,Bastard,1,1,82,"And were our father and this son like him,",male,0.0
67552,King John,History,Bastard,1,1,83,"O old sir Robert, father, on my knee",male,0.1
