Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
90568,King Lear,Tragedy,Kent,1,1,1,I thought the king had more affected the Duke of,male
90569,King Lear,Tragedy,Kent,1,1,2,Albany than Cornwall.,male
90570,King Lear,Tragedy,Gloucester,1,1,3,"It did always seem so to us: but now, in the",male
90571,King Lear,Tragedy,Gloucester,1,1,4,"division of the kingdom, it appears not which of",male
90572,King Lear,Tragedy,Gloucester,1,1,5,the dukes he values most; for equalities are so,male
90573,King Lear,Tragedy,Gloucester,1,1,6,"weighed, that curiosity in neither can make choice",male
90574,King Lear,Tragedy,Gloucester,1,1,7,of either's moiety.,male
90575,King Lear,Tragedy,Kent,1,1,8,"Is not this your son, my lord?",male
90576,King Lear,Tragedy,Gloucester,1,1,9,"His breeding, sir, hath been at my charge: I have",male
90577,King Lear,Tragedy,Gloucester,1,1,10,"so often blushed to acknowledge him, that now I am",male
90578,King Lear,Tragedy,Gloucester,1,1,11,brazed to it.,male
90579,King Lear,Tragedy,Kent,1,1,12,I cannot conceive you.,male
90580,King Lear,Tragedy,Gloucester,1,1,13,"Sir, this young fellow's mother could: whereupon",male
90581,King Lear,Tragedy,Gloucester,1,1,14,"she grew round-wombed, and had, indeed, sir, a son",male
90582,King Lear,Tragedy,Gloucester,1,1,15,for her cradle ere she had a husband for her bed.,male
90583,King Lear,Tragedy,Gloucester,1,1,16,Do you smell a fault?,male
90584,King Lear,Tragedy,Kent,1,1,17,"I cannot wish the fault undone, the issue of it",male
90585,King Lear,Tragedy,Kent,1,1,18,being so proper.,male
90586,King Lear,Tragedy,Gloucester,1,1,19,"But I have, sir, a son by order of law, some year",male
90587,King Lear,Tragedy,Gloucester,1,1,20,"elder than this, who yet is no dearer in my account:",male
90588,King Lear,Tragedy,Gloucester,1,1,21,though this knave came something saucily into the,male
90589,King Lear,Tragedy,Gloucester,1,1,22,"world before he was sent for, yet was his mother",male
90590,King Lear,Tragedy,Gloucester,1,1,23,"fair; there was good sport at his making, and the",male
90591,King Lear,Tragedy,Gloucester,1,1,24,whoreson must be acknowledged. Do you know this,male
90592,King Lear,Tragedy,Gloucester,1,1,25,"noble gentleman, Edmund?",male
90593,King Lear,Tragedy,Edmund,1,1,26,"No, my lord.",male
90594,King Lear,Tragedy,Gloucester,1,1,27,My lord of Kent: remember him hereafter as my,male
90595,King Lear,Tragedy,Gloucester,1,1,28,honourable friend.,male
90596,King Lear,Tragedy,Edmund,1,1,29,My services to your lordship.,male
90597,King Lear,Tragedy,Kent,1,1,30,"I must love you, and sue to know you better.",male
90598,King Lear,Tragedy,Edmund,1,1,31,"Sir, I shall study deserving.",male
90599,King Lear,Tragedy,Gloucester,1,1,32,"He hath been out nine years, and away he shall",male
90600,King Lear,Tragedy,Gloucester,1,1,33,again. The king is coming.,male
90601,King Lear,Tragedy,King Lear,1,1,34,"Attend the lords of France and Burgundy, Gloucester.",male
90602,King Lear,Tragedy,Gloucester,1,1,35,"I shall, my liege.",male
90603,King Lear,Tragedy,King Lear,1,1,36,Meantime we shall express our darker purpose.,male
90604,King Lear,Tragedy,King Lear,1,1,37,Give me the map there. Know that we have divided,male
90605,King Lear,Tragedy,King Lear,1,1,38,In three our kingdom: and 'tis our fast intent,male
90606,King Lear,Tragedy,King Lear,1,1,39,To shake all cares and business from our age;,male
90607,King Lear,Tragedy,King Lear,1,1,40,"Conferring them on younger strengths, while we",male
90608,King Lear,Tragedy,King Lear,1,1,41,"Unburthen'd crawl toward death. Our son of Cornwall,",male
90609,King Lear,Tragedy,King Lear,1,1,42,"And you, our no less loving son of Albany,",male
90610,King Lear,Tragedy,King Lear,1,1,43,We have this hour a constant will to publish,male
90611,King Lear,Tragedy,King Lear,1,1,44,"Our daughters' several dowers, that future strife",male
90612,King Lear,Tragedy,King Lear,1,1,45,"May be prevented now. The princes, France and Burgundy,",male
90613,King Lear,Tragedy,King Lear,1,1,46,"Great rivals in our youngest daughter's love,",male
90614,King Lear,Tragedy,King Lear,1,1,47,"Long in our court have made their amorous sojourn,",male
90615,King Lear,Tragedy,King Lear,1,1,48,"And here are to be answer'd. Tell me, my daughters,--",male
90616,King Lear,Tragedy,King Lear,1,1,49,"Since now we will divest us both of rule,",male
90617,King Lear,Tragedy,King Lear,1,1,50,"Interest of territory, cares of state,--",male
90618,King Lear,Tragedy,King Lear,1,1,51,Which of you shall we say doth love us most?,male
90619,King Lear,Tragedy,King Lear,1,1,52,That we our largest bounty may extend,male
90620,King Lear,Tragedy,King Lear,1,1,53,"Where nature doth with merit challenge. Goneril,",male
90621,King Lear,Tragedy,King Lear,1,1,54,"Our eldest-born, speak first.",male
90622,King Lear,Tragedy,Goneril,1,1,55,"Sir, I love you more than words can wield the matter;",female
90623,King Lear,Tragedy,Goneril,1,1,56,"Dearer than eye-sight, space, and liberty;",female
90624,King Lear,Tragedy,Goneril,1,1,57,"Beyond what can be valued, rich or rare;",female
90625,King Lear,Tragedy,Goneril,1,1,58,"No less than life, with grace, health, beauty, honour;",female
90626,King Lear,Tragedy,Goneril,1,1,59,"As much as child e'er loved, or father found;",female
90627,King Lear,Tragedy,Goneril,1,1,60,"A love that makes breath poor, and speech unable;",female
90628,King Lear,Tragedy,Goneril,1,1,61,Beyond all manner of so much I love you.,female
90629,King Lear,Tragedy,Cordelia,1,1,62,[Aside]  What shall Cordelia do?,female
90630,King Lear,Tragedy,Cordelia,1,1,63,"Love, and be silent.",female
90631,King Lear,Tragedy,Lear,1,1,64,"Of all these bounds, even from this line to this,",male
90632,King Lear,Tragedy,Lear,1,1,65,"With shadowy forests and with champains rich'd,",male
90633,King Lear,Tragedy,Lear,1,1,66,"With plenteous rivers and wide-skirted meads,",male
90634,King Lear,Tragedy,Lear,1,1,67,We make thee lady: to thine and Albany's issue,male
90635,King Lear,Tragedy,Lear,1,1,68,"Be this perpetual. What says our second daughter,",male
90636,King Lear,Tragedy,Lear,1,1,69,"Our dearest Regan, wife to Cornwall? Speak.",male
90637,King Lear,Tragedy,Regan,1,1,70,"Sir, I am made",female
90638,King Lear,Tragedy,Regan,1,1,71,"Of the self-same metal that my sister is,",female
90639,King Lear,Tragedy,Regan,1,1,72,And prize me at her worth. In my true heart,female
90640,King Lear,Tragedy,Regan,1,1,73,I find she names my very deed of love;,female
90641,King Lear,Tragedy,Regan,1,1,74,Only she comes too short: that I profess,female
90642,King Lear,Tragedy,Regan,1,1,75,"Myself an enemy to all other joys,",female
90643,King Lear,Tragedy,Regan,1,1,76,Which the most precious square of sense possesses;,female
90644,King Lear,Tragedy,Regan,1,1,77,And find I am alone felicitate,female
90645,King Lear,Tragedy,Regan,1,1,78,In your dear highness' love.,female
90646,King Lear,Tragedy,Cordelia,1,1,79,[Aside]	Then poor Cordelia!,female
90647,King Lear,Tragedy,Cordelia,1,1,80,"And yet not so; since, I am sure, my love's",female
90648,King Lear,Tragedy,Cordelia,1,1,81,More richer than my tongue.,female
90649,King Lear,Tragedy,King Lear,1,1,82,To thee and thine hereditary ever,male
90650,King Lear,Tragedy,King Lear,1,1,83,Remain this ample third of our fair kingdom;,male
90651,King Lear,Tragedy,King Lear,1,1,84,"No less in space, validity, and pleasure,",male
90652,King Lear,Tragedy,King Lear,1,1,85,"Than that conferr'd on Goneril. Now, our joy,",male
90653,King Lear,Tragedy,King Lear,1,1,86,"Although the last, not least; to whose young love",male
90654,King Lear,Tragedy,King Lear,1,1,87,The vines of France and milk of Burgundy,male
90655,King Lear,Tragedy,King Lear,1,1,88,Strive to be interess'd; what can you say to draw,male
90656,King Lear,Tragedy,King Lear,1,1,89,A third more opulent than your sisters? Speak.,male
90657,King Lear,Tragedy,Cordelia,1,1,90,"Nothing, my lord.",female
90658,King Lear,Tragedy,King Lear,1,1,91,Nothing!,male
90659,King Lear,Tragedy,Cordelia,1,1,92,Nothing.,female
90660,King Lear,Tragedy,King Lear,1,1,93,Nothing will come of nothing: speak again.,male
90661,King Lear,Tragedy,Cordelia,1,1,94,"Unhappy that I am, I cannot heave",female
90662,King Lear,Tragedy,Cordelia,1,1,95,My heart into my mouth: I love your majesty,female
90663,King Lear,Tragedy,Cordelia,1,1,96,According to my bond; nor more nor less.,female
90664,King Lear,Tragedy,King Lear,1,1,97,"How, how, Cordelia! mend your speech a little,",male
90665,King Lear,Tragedy,King Lear,1,1,98,Lest it may mar your fortunes.,male
90666,King Lear,Tragedy,Cordelia,1,1,99,"Good my lord,",female
