Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
94067,Macbeth,Tragedy,First Witch,1,1,1,When shall we three meet again,female
94068,Macbeth,Tragedy,First Witch,1,1,2,"In thunder, lightning, or in rain?",female
94069,Macbeth,Tragedy,Second Witch,1,1,3,"When the hurlyburly's done,",female
94070,Macbeth,Tragedy,Second Witch,1,1,4,When the battle's lost and won.,female
94071,Macbeth,Tragedy,Third Witch,1,1,5,That will be ere the set of sun.,female
94072,Macbeth,Tragedy,First Witch,1,1,6,Where the place?,female
94073,Macbeth,Tragedy,Second Witch,1,1,7,Upon the heath.,female
94074,Macbeth,Tragedy,Third Witch,1,1,8,There to meet with Macbeth.,female
94075,Macbeth,Tragedy,First Witch,1,1,9,"I come, Graymalkin!",female
94076,Macbeth,Tragedy,Second Witch,1,1,10,Paddock calls.,female
94077,Macbeth,Tragedy,Third Witch,1,1,11,Anon.,female
94078,Macbeth,Tragedy,All,1,1,12,"Fair is foul, and foul is fair:",male
94079,Macbeth,Tragedy,All,1,1,13,Hover through the fog and filthy air.,male
94080,Macbeth,Tragedy,Duncan,1,2,1,"What bloody man is that? He can report,",male
94081,Macbeth,Tragedy,Duncan,1,2,2,"As seemeth by his plight, of the revolt",male
94082,Macbeth,Tragedy,Duncan,1,2,3,The newest state.,male
94083,Macbeth,Tragedy,Malcolm,1,2,4,This is the sergeant,male
94084,Macbeth,Tragedy,Malcolm,1,2,5,Who like a good and hardy soldier fought,male
94085,Macbeth,Tragedy,Malcolm,1,2,6,"'Gainst my captivity. Hail, brave friend!",male
94086,Macbeth,Tragedy,Malcolm,1,2,7,Say to the king the knowledge of the broil,male
94087,Macbeth,Tragedy,Malcolm,1,2,8,As thou didst leave it.,male
94088,Macbeth,Tragedy,Sergeant,1,2,9,Doubtful it stood;,male
94089,Macbeth,Tragedy,Sergeant,1,2,10,"As two spent swimmers, that do cling together",male
94090,Macbeth,Tragedy,Sergeant,1,2,11,And choke their art. The merciless Macdonwald--,male
94091,Macbeth,Tragedy,Sergeant,1,2,12,"Worthy to be a rebel, for to that",male
94092,Macbeth,Tragedy,Sergeant,1,2,13,The multiplying villanies of nature,male
94093,Macbeth,Tragedy,Sergeant,1,2,14,Do swarm upon him--from the western isles,male
94094,Macbeth,Tragedy,Sergeant,1,2,15,Of kerns and gallowglasses is supplied;,male
94095,Macbeth,Tragedy,Sergeant,1,2,16,"And fortune, on his damned quarrel smiling,",male
94096,Macbeth,Tragedy,Sergeant,1,2,17,Show'd like a rebel's whore: but all's too weak:,male
94097,Macbeth,Tragedy,Sergeant,1,2,18,For brave Macbeth--well he deserves that name--,male
94098,Macbeth,Tragedy,Sergeant,1,2,19,"Disdaining fortune, with his brandish'd steel,",male
94099,Macbeth,Tragedy,Sergeant,1,2,20,"Which smoked with bloody execution,",male
94100,Macbeth,Tragedy,Sergeant,1,2,21,Like valour's minion carved out his passage,male
94101,Macbeth,Tragedy,Sergeant,1,2,22,Till he faced the slave;,male
94102,Macbeth,Tragedy,Sergeant,1,2,23,"Which ne'er shook hands, nor bade farewell to him,",male
94103,Macbeth,Tragedy,Sergeant,1,2,24,"Till he unseam'd him from the nave to the chaps,",male
94104,Macbeth,Tragedy,Sergeant,1,2,25,And fix'd his head upon our battlements.,male
94105,Macbeth,Tragedy,Duncan,1,2,26,O valiant cousin! worthy gentleman!,male
94106,Macbeth,Tragedy,Sergeant,1,2,27,As whence the sun 'gins his reflection,male
94107,Macbeth,Tragedy,Sergeant,1,2,28,"Shipwrecking storms and direful thunders break,",male
94108,Macbeth,Tragedy,Sergeant,1,2,29,So from that spring whence comfort seem'd to come,male
94109,Macbeth,Tragedy,Sergeant,1,2,30,"Discomfort swells. Mark, king of Scotland, mark:",male
94110,Macbeth,Tragedy,Sergeant,1,2,31,No sooner justice had with valour arm'd,male
94111,Macbeth,Tragedy,Sergeant,1,2,32,"Compell'd these skipping kerns to trust their heels,",male
94112,Macbeth,Tragedy,Sergeant,1,2,33,"But the Norweyan lord surveying vantage,",male
94113,Macbeth,Tragedy,Sergeant,1,2,34,With furbish'd arms and new supplies of men,male
94114,Macbeth,Tragedy,Sergeant,1,2,35,Began a fresh assault.,male
94115,Macbeth,Tragedy,Duncan,1,2,36,Dismay'd not this,male
94116,Macbeth,Tragedy,Duncan,1,2,37,"Our captains, Macbeth and Banquo?",male
94117,Macbeth,Tragedy,Sergeant,1,2,38,Yes;,male
94118,Macbeth,Tragedy,Sergeant,1,2,39,"As sparrows eagles, or the hare the lion.",male
94119,Macbeth,Tragedy,Sergeant,1,2,40,"If I say sooth, I must report they were",male
94120,Macbeth,Tragedy,Sergeant,1,2,41,"As cannons overcharged with double cracks, so they",male
94121,Macbeth,Tragedy,Sergeant,1,2,42,Doubly redoubled strokes upon the foe:,male
94122,Macbeth,Tragedy,Sergeant,1,2,43,"Except they meant to bathe in reeking wounds,",male
94123,Macbeth,Tragedy,Sergeant,1,2,44,"Or memorise another Golgotha,",male
94124,Macbeth,Tragedy,Sergeant,1,2,45,I cannot tell.,male
94125,Macbeth,Tragedy,Sergeant,1,2,46,"But I am faint, my gashes cry for help.",male
94126,Macbeth,Tragedy,Duncan,1,2,47,So well thy words become thee as thy wounds;,male
94127,Macbeth,Tragedy,Duncan,1,2,48,They smack of honour both. Go get him surgeons.,male
94128,Macbeth,Tragedy,Duncan,1,2,49,Who comes here?,male
94129,Macbeth,Tragedy,Malcolm,1,2,50,The worthy thane of Ross.,male
94130,Macbeth,Tragedy,Lennox,1,2,51,What a haste looks through his eyes! So should he look,male
94131,Macbeth,Tragedy,Lennox,1,2,52,That seems to speak things strange.,male
94132,Macbeth,Tragedy,Ross,1,2,53,God save the king!,male
94133,Macbeth,Tragedy,Duncan,1,2,54,"Whence camest thou, worthy thane?",male
94134,Macbeth,Tragedy,Ross,1,2,55,"From Fife, great king;",male
94135,Macbeth,Tragedy,Ross,1,2,56,Where the Norweyan banners flout the sky,male
94136,Macbeth,Tragedy,Ross,1,2,57,"And fan our people cold. Norway himself,",male
94137,Macbeth,Tragedy,Ross,1,2,58,"With terrible numbers,",male
94138,Macbeth,Tragedy,Ross,1,2,59,Assisted by that most disloyal traitor,male
94139,Macbeth,Tragedy,Ross,1,2,60,"The thane of Cawdor, began a dismal conflict;",male
94140,Macbeth,Tragedy,Ross,1,2,61,"Till that Bellona's bridegroom, lapp'd in proof,",male
94141,Macbeth,Tragedy,Ross,1,2,62,"Confronted him with self-comparisons,",male
94142,Macbeth,Tragedy,Ross,1,2,63,"Point against point rebellious, arm 'gainst arm.",male
94143,Macbeth,Tragedy,Ross,1,2,64,"Curbing his lavish spirit: and, to conclude,",male
94144,Macbeth,Tragedy,Ross,1,2,65,The victory fell on us.,male
94145,Macbeth,Tragedy,Duncan,1,2,66,Great happiness!,male
94146,Macbeth,Tragedy,Ross,1,2,67,That now,male
94147,Macbeth,Tragedy,Ross,1,2,68,"Sweno, the Norways' king, craves composition:",male
94148,Macbeth,Tragedy,Ross,1,2,69,Nor would we deign him burial of his men,male
94149,Macbeth,Tragedy,Ross,1,2,70,Till he disbursed at Saint Colme's inch,male
94150,Macbeth,Tragedy,Ross,1,2,71,Ten thousand dollars to our general use.,male
94151,Macbeth,Tragedy,Duncan,1,2,72,No more that thane of Cawdor shall deceive,male
94152,Macbeth,Tragedy,Duncan,1,2,73,"Our bosom interest: go pronounce his present death,",male
94153,Macbeth,Tragedy,Duncan,1,2,74,And with his former title greet Macbeth.,male
94154,Macbeth,Tragedy,Ross,1,2,75,I'll see it done.,male
94155,Macbeth,Tragedy,Duncan,1,2,76,What he hath lost noble Macbeth hath won.,male
94156,Macbeth,Tragedy,First Witch,1,3,1,"Where hast thou been, sister?",female
94157,Macbeth,Tragedy,Second Witch,1,3,2,Killing swine.,female
94158,Macbeth,Tragedy,Third Witch,1,3,3,"Sister, where thou?",female
94159,Macbeth,Tragedy,First Witch,1,3,4,"A sailor's wife had chestnuts in her lap,",female
94160,Macbeth,Tragedy,First Witch,1,3,5,"And munch'd, and munch'd, and munch'd:--",female
94161,Macbeth,Tragedy,First Witch,1,3,6,"'Give me,' quoth I:",female
94162,Macbeth,Tragedy,First Witch,1,3,7,"'Aroint thee, witch!' the rump-fed ronyon cries.",female
94163,Macbeth,Tragedy,First Witch,1,3,8,"Her husband's to Aleppo gone, master o' the Tiger:",female
94164,Macbeth,Tragedy,First Witch,1,3,9,"But in a sieve I'll thither sail,",female
94165,Macbeth,Tragedy,First Witch,1,3,10,"And, like a rat without a tail,",female
94166,Macbeth,Tragedy,First Witch,1,3,11,"I'll do, I'll do, and I'll do.",female
94167,Macbeth,Tragedy,Second Witch,1,3,12,I'll give thee a wind.,female
94168,Macbeth,Tragedy,First Witch,1,3,13,Thou'rt kind.,female
94169,Macbeth,Tragedy,Third Witch,1,3,14,And I another.,female
94170,Macbeth,Tragedy,First Witch,1,3,15,"I myself have all the other,",female
94171,Macbeth,Tragedy,First Witch,1,3,16,"And the very ports they blow,",female
94172,Macbeth,Tragedy,First Witch,1,3,17,All the quarters that they know,female
94173,Macbeth,Tragedy,First Witch,1,3,18,I' the shipman's card.,female
94174,Macbeth,Tragedy,First Witch,1,3,19,I will drain him dry as hay:,female
94175,Macbeth,Tragedy,First Witch,1,3,20,Sleep shall neither night nor day,female
94176,Macbeth,Tragedy,First Witch,1,3,21,Hang upon his pent-house lid;,female
94177,Macbeth,Tragedy,First Witch,1,3,22,He shall live a man forbid:,female
94178,Macbeth,Tragedy,First Witch,1,3,23,Weary se'nnights nine times nine,female
94179,Macbeth,Tragedy,First Witch,1,3,24,"Shall he dwindle, peak and pine:",female
94180,Macbeth,Tragedy,First Witch,1,3,25,"Though his bark cannot be lost,",female
94181,Macbeth,Tragedy,First Witch,1,3,26,Yet it shall be tempest-tost.,female
94182,Macbeth,Tragedy,First Witch,1,3,27,Look what I have.,female
94183,Macbeth,Tragedy,Second Witch,1,3,28,"Show me, show me.",female
94184,Macbeth,Tragedy,First Witch,1,3,29,"Here I have a pilot's thumb,",female
94185,Macbeth,Tragedy,First Witch,1,3,30,Wreck'd as homeward he did come.,female
94186,Macbeth,Tragedy,Third Witch,1,3,31,"A drum, a drum!",female
94187,Macbeth,Tragedy,Third Witch,1,3,32,Macbeth doth come.,female
94188,Macbeth,Tragedy,All,1,3,33,"The weird sisters, hand in hand,",male
94189,Macbeth,Tragedy,All,1,3,34,"Posters of the sea and land,",male
94190,Macbeth,Tragedy,All,1,3,35,"Thus do go about, about:",male
94191,Macbeth,Tragedy,All,1,3,36,Thrice to thine and thrice to mine,male
94192,Macbeth,Tragedy,All,1,3,37,"And thrice again, to make up nine.",male
