Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
96452,Othello,Tragedy,Roderigo,1,1,1,Tush! never tell me; I take it much unkindly,male,0.2
96453,Othello,Tragedy,Roderigo,1,1,2,"That thou, Iago, who hast had my purse",male,0.0
96454,Othello,Tragedy,Roderigo,1,1,3,"As if the strings were thine, shouldst know of this.",male,0.0
96455,Othello,Tragedy,Iago,1,1,4,"'Sblood, but you will not hear me:",male,0.0
96456,Othello,Tragedy,Iago,1,1,5,"If ever I did dream of such a matter, Abhor me.",male,0.0
96457,Othello,Tragedy,Roderigo,1,1,6,Thou told'st me thou didst hold him in thy hate.,male,-0.8
96458,Othello,Tragedy,Iago,1,1,7,"Despise me, if I do not. Three great ones of the city,",male,0.8
96459,Othello,Tragedy,Iago,1,1,8,"In personal suit to make me his lieutenant,",male,0.0
96460,Othello,Tragedy,Iago,1,1,9,"Off-capp'd to him: and, by the faith of man,",male,0.0
96461,Othello,Tragedy,Iago,1,1,10,"I know my price, I am worth no worse a place:",male,0.25
96462,Othello,Tragedy,Iago,1,1,11,"But he; as loving his own pride and purposes,",male,0.6
96463,Othello,Tragedy,Iago,1,1,12,"Evades them, with a bombast circumstance",male,0.0
96464,Othello,Tragedy,Iago,1,1,13,Horribly stuff'd with epithets of war;,male,-1.0
96465,Othello,Tragedy,Iago,1,1,14,"And, in conclusion,",male,0.0
96466,Othello,Tragedy,Iago,1,1,15,"Nonsuits my mediators; for, 'Certes,' says he,",male,0.0
96467,Othello,Tragedy,Iago,1,1,16,'I have already chose my officer.',male,0.0
96468,Othello,Tragedy,Iago,1,1,17,And what was he?,male,0.0
96469,Othello,Tragedy,Iago,1,1,18,"Forsooth, a great arithmetician,",male,0.8
96470,Othello,Tragedy,Iago,1,1,19,"One Michael Cassio, a Florentine,",male,0.0
96471,Othello,Tragedy,Iago,1,1,20,A fellow almost damn'd in a fair wife;,male,0.7
96472,Othello,Tragedy,Iago,1,1,21,"That never set a squadron in the field,",male,0.0
96473,Othello,Tragedy,Iago,1,1,22,Nor the division of a battle knows,male,0.0
96474,Othello,Tragedy,Iago,1,1,23,"More than a spinster; unless the bookish theoric,",male,0.5
96475,Othello,Tragedy,Iago,1,1,24,Wherein the toged consuls can propose,male,0.0
96476,Othello,Tragedy,Iago,1,1,25,"As masterly as he: mere prattle, without practise,",male,-0.5
96477,Othello,Tragedy,Iago,1,1,26,"Is all his soldiership. But he, sir, had the election:",male,0.0
96478,Othello,Tragedy,Iago,1,1,27,"And I, of whom his eyes had seen the proof",male,0.0
96479,Othello,Tragedy,Iago,1,1,28,"At Rhodes, at Cyprus and on other grounds",male,-0.12
96480,Othello,Tragedy,Iago,1,1,29,"Christian and heathen, must be be-lee'd and calm'd",male,0.15
96481,Othello,Tragedy,Iago,1,1,30,"By debitor and creditor: this counter-caster,",male,0.0
96482,Othello,Tragedy,Iago,1,1,31,"He, in good time, must his lieutenant be,",male,0.7
