Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
70118,Richard II,History,King Richard Ii,1,1,1,"Old John of Gaunt, time-honour'd Lancaster,",male,0.1
70119,Richard II,History,King Richard Ii,1,1,2,"Hast thou, according to thy oath and band,",male,0.0
70120,Richard II,History,King Richard Ii,1,1,3,"Brought hither Henry Hereford thy bold son,",male,0.33
70121,Richard II,History,King Richard Ii,1,1,4,"Here to make good the boisterous late appeal,",male,0.2
70122,Richard II,History,King Richard Ii,1,1,5,"Which then our leisure would not let us hear,",male,0.0
70123,Richard II,History,King Richard Ii,1,1,6,"Against the Duke of Norfolk, Thomas Mowbray?",male,0.0
70124,Richard II,History,John Of Gaunt,1,1,7,"I have, my liege.",male,0.0
70125,Richard II,History,King Richard Ii,1,1,8,"Tell me, moreover, hast thou sounded him,",male,0.0
70126,Richard II,History,King Richard Ii,1,1,9,If he appeal the duke on ancient malice;,male,0.0
70127,Richard II,History,King Richard Ii,1,1,10,"Or worthily, as a good subject should,",male,0.27
70128,Richard II,History,King Richard Ii,1,1,11,On some known ground of treachery in him?,male,0.0
70129,Richard II,History,John Of Gaunt,1,1,12,"As near as I could sift him on that argument,",male,0.1
70130,Richard II,History,John Of Gaunt,1,1,13,On some apparent danger seen in him,male,0.05
70131,Richard II,History,John Of Gaunt,1,1,14,"Aim'd at your highness, no inveterate malice.",male,0.0
70132,Richard II,History,King Richard Ii,1,1,15,"Then call them to our presence; face to face,",male,0.0
70133,Richard II,History,King Richard Ii,1,1,16,"And frowning brow to brow, ourselves will hear",male,0.0
70134,Richard II,History,King Richard Ii,1,1,17,The accuser and the accused freely speak:,male,0.4
70135,Richard II,History,King Richard Ii,1,1,18,"High-stomach'd are they both, and full of ire,",male,0.35
70136,Richard II,History,King Richard Ii,1,1,19,"In rage deaf as the sea, hasty as fire.",male,0.0
70137,Richard II,History,Henry Bolingbroke,1,1,20,Many years of happy days befal,male,0.65
70138,Richard II,History,Henry Bolingbroke,1,1,21,"My gracious sovereign, my most loving liege!",male,0.62
70139,Richard II,History,Thomas Mowbray,1,1,22,Each day still better other's happiness;,male,0.36
70140,Richard II,History,Thomas Mowbray,1,1,23,"Until the heavens, envying earth's good hap,",male,0.7
70141,Richard II,History,Thomas Mowbray,1,1,24,Add an immortal title to your crown!,male,0.0
70142,Richard II,History,King Richard Ii,1,1,25,"We thank you both: yet one but flatters us,",male,0.0
70143,Richard II,History,King Richard Ii,1,1,26,As well appeareth by the cause you come;,male,0.0
70144,Richard II,History,King Richard Ii,1,1,27,Namely to appeal each other of high treason.,male,0.02
70145,Richard II,History,King Richard Ii,1,1,28,"Cousin of Hereford, what dost thou object",male,0.0
70146,Richard II,History,King Richard Ii,1,1,29,"Against the Duke of Norfolk, Thomas Mowbray?",male,0.0
70147,Richard II,History,Henry Bolingbroke,1,1,30,"First, heaven be the record to my speech!",male,0.31
70148,Richard II,History,Henry Bolingbroke,1,1,31,"In the devotion of a subject's love,",male,0.17
70149,Richard II,History,Henry Bolingbroke,1,1,32,"Tendering the precious safety of my prince,",male,0.5
70150,Richard II,History,Henry Bolingbroke,1,1,33,"And free from other misbegotten hate,",male,-0.18
70151,Richard II,History,Henry Bolingbroke,1,1,34,Come I appellant to this princely presence.,male,0.0
70152,Richard II,History,Henry Bolingbroke,1,1,35,"Now, Thomas Mowbray, do I turn to thee,",male,0.0
70153,Richard II,History,Henry Bolingbroke,1,1,36,And mark my greeting well; for what I speak,male,0.0
70154,Richard II,History,Henry Bolingbroke,1,1,37,"My body shall make good upon this earth,",male,0.7
70155,Richard II,History,Henry Bolingbroke,1,1,38,Or my divine soul answer it in heaven.,male,0.0
70156,Richard II,History,Henry Bolingbroke,1,1,39,"Thou art a traitor and a miscreant,",male,0.0
70157,Richard II,History,Henry Bolingbroke,1,1,40,"Too good to be so and too bad to live,",male,0.05
