Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
72918,Richard III,History,Gloucester,1,1,1,Now is the winter of our discontent,male,0.0
72919,Richard III,History,Gloucester,1,1,2,Made glorious summer by this sun of York;,male,0.0
72920,Richard III,History,Gloucester,1,1,3,And all the clouds that lour'd upon our house,male,0.0
72921,Richard III,History,Gloucester,1,1,4,In the deep bosom of the ocean buried.,male,0.0
72922,Richard III,History,Gloucester,1,1,5,Now are our brows bound with victorious wreaths;,male,0.0
72923,Richard III,History,Gloucester,1,1,6,Our bruised arms hung up for monuments;,male,0.0
72924,Richard III,History,Gloucester,1,1,7,"Our stern alarums changed to merry meetings,",male,0.0
72925,Richard III,History,Gloucester,1,1,8,Our dreadful marches to delightful measures.,male,0.0
72926,Richard III,History,Gloucester,1,1,9,Grim-visaged war hath smooth'd his wrinkled front;,male,0.4
72927,Richard III,History,Gloucester,1,1,10,"And now, instead of mounting barbed steeds",male,0.0
72928,Richard III,History,Gloucester,1,1,11,"To fright the souls of fearful adversaries,",male,-0.9
72929,Richard III,History,Gloucester,1,1,12,He capers nimbly in a lady's chamber,male,0.0
72930,Richard III,History,Gloucester,1,1,13,To the lascivious pleasing of a lute.,male,0.0
72931,Richard III,History,Gloucester,1,1,14,"But I, that am not shaped for sportive tricks,",male,0.0
72932,Richard III,History,Gloucester,1,1,15,Nor made to court an amorous looking-glass;,male,0.0
72933,Richard III,History,Gloucester,1,1,16,"I, that am rudely stamp'd, and want love's majesty",male,0.1
72934,Richard III,History,Gloucester,1,1,17,To strut before a wanton ambling nymph;,male,0.0
72935,Richard III,History,Gloucester,1,1,18,"I, that am curtail'd of this fair proportion,",male,0.7
72936,Richard III,History,Gloucester,1,1,19,"Cheated of feature by dissembling nature,",male,0.0
72937,Richard III,History,Gloucester,1,1,20,"Deformed, unfinish'd, sent before my time",male,0.0
72938,Richard III,History,Gloucester,1,1,21,"Into this breathing world, scarce half made up,",male,-0.17
72939,Richard III,History,Gloucester,1,1,22,And that so lamely and unfashionable,male,-0.5
72940,Richard III,History,Gloucester,1,1,23,That dogs bark at me as I halt by them;,male,0.0
72941,Richard III,History,Gloucester,1,1,24,"Why, I, in this weak piping time of peace,",male,-0.38
72942,Richard III,History,Gloucester,1,1,25,"Have no delight to pass away the time,",male,0.0
72943,Richard III,History,Gloucester,1,1,26,Unless to spy my shadow in the sun,male,0.0
72944,Richard III,History,Gloucester,1,1,27,And descant on mine own deformity:,male,0.6
72945,Richard III,History,Gloucester,1,1,28,"And therefore, since I cannot prove a lover,",male,0.0
72946,Richard III,History,Gloucester,1,1,29,"To entertain these fair well-spoken days,",male,0.7
72947,Richard III,History,Gloucester,1,1,30,I am determined to prove a villain,male,0.0
72948,Richard III,History,Gloucester,1,1,31,And hate the idle pleasures of these days.,male,-0.8
72949,Richard III,History,Gloucester,1,1,32,"Plots have I laid, inductions dangerous,",male,-0.6
72950,Richard III,History,Gloucester,1,1,33,"By drunken prophecies, libels and dreams,",male,0.0
72951,Richard III,History,Gloucester,1,1,34,To set my brother Clarence and the king,male,0.0
