Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex,sentiment
100010,Romeo and Juliet,Tragedy,Sampson,1,1,1,"Gregory, o' my word, we'll not carry coals.",male,0.0
100011,Romeo and Juliet,Tragedy,Gregory,1,1,2,"No, for then we should be colliers.",male,0.0
100012,Romeo and Juliet,Tragedy,Sampson,1,1,3,"I mean, an we be in choler, we'll draw.",male,-0.31
100013,Romeo and Juliet,Tragedy,Gregory,1,1,4,"Ay, while you live, draw your neck out o' the collar.",male,0.14
100014,Romeo and Juliet,Tragedy,Sampson,1,1,5,"I strike quickly, being moved.",male,0.33
100015,Romeo and Juliet,Tragedy,Gregory,1,1,6,But thou art not quickly moved to strike.,male,-0.17
100016,Romeo and Juliet,Tragedy,Sampson,1,1,7,A dog of the house of Montague moves me.,male,0.0
100017,Romeo and Juliet,Tragedy,Gregory,1,1,8,To move is to stir; and to be valiant is to stand:,male,0.0
100018,Romeo and Juliet,Tragedy,Gregory,1,1,9,"therefore, if thou art moved, thou runn'st away.",male,0.0
100019,Romeo and Juliet,Tragedy,Sampson,1,1,10,A dog of that house shall move me to stand: I will,male,0.0
100020,Romeo and Juliet,Tragedy,Sampson,1,1,11,take the wall of any man or maid of Montague's.,male,0.0
100021,Romeo and Juliet,Tragedy,Gregory,1,1,12,That shows thee a weak slave; for the weakest goes,male,-0.38
100022,Romeo and Juliet,Tragedy,Gregory,1,1,13,to the wall.,male,0.0
100023,Romeo and Juliet,Tragedy,Sampson,1,1,14,"True; and therefore women, being the weaker vessels,",male,0.35
100024,Romeo and Juliet,Tragedy,Sampson,1,1,15,are ever thrust to the wall: therefore I will push,male,0.0
100025,Romeo and Juliet,Tragedy,Sampson,1,1,16,"Montague's men from the wall, and thrust his maids",male,0.0
100026,Romeo and Juliet,Tragedy,Sampson,1,1,17,to the wall.,male,0.0
100027,Romeo and Juliet,Tragedy,Gregory,1,1,18,The quarrel is between our masters and us their men.,male,0.0
100028,Romeo and Juliet,Tragedy,Sampson,1,1,19,"'Tis all one, I will show myself a tyrant: when I",male,0.0
100029,Romeo and Juliet,Tragedy,Sampson,1,1,20,"have fought with the men, I will be cruel with the",male,-1.0
100030,Romeo and Juliet,Tragedy,Sampson,1,1,21,"maids, and cut off their heads.",male,0.0
100031,Romeo and Juliet,Tragedy,Gregory,1,1,22,The heads of the maids?,male,0.0
100032,Romeo and Juliet,Tragedy,Sampson,1,1,23,"Ay, the heads of the maids, or their maidenheads;",male,0.0
100033,Romeo and Juliet,Tragedy,Sampson,1,1,24,take it in what sense thou wilt.,male,0.0
100034,Romeo and Juliet,Tragedy,Gregory,1,1,25,They must take it in sense that feel it.,male,0.0
100035,Romeo and Juliet,Tragedy,Sampson,1,1,26,Me they shall feel while I am able to stand: and,male,0.5
100036,Romeo and Juliet,Tragedy,Sampson,1,1,27,'tis known I am a pretty piece of flesh.,male,0.25
100037,Romeo and Juliet,Tragedy,Gregory,1,1,28,"'Tis well thou art not fish; if thou hadst, thou",male,0.0
