Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
5601,The Comedy of Errors,Comedy,Aegeon,1,1,1,"Proceed, Solinus, to procure my fall",male
5602,The Comedy of Errors,Comedy,Aegeon,1,1,2,And by the doom of death end woes and all.,male
5603,The Comedy of Errors,Comedy,Duke Solinus,1,1,3,"Merchant of Syracuse, plead no more;",male
5604,The Comedy of Errors,Comedy,Duke Solinus,1,1,4,I am not partial to infringe our laws:,male
5605,The Comedy of Errors,Comedy,Duke Solinus,1,1,5,The enmity and discord which of late,male
5606,The Comedy of Errors,Comedy,Duke Solinus,1,1,6,Sprung from the rancorous outrage of your duke,male
5607,The Comedy of Errors,Comedy,Duke Solinus,1,1,7,"To merchants, our well-dealing countrymen,",male
5608,The Comedy of Errors,Comedy,Duke Solinus,1,1,8,Who wanting guilders to redeem their lives,male
5609,The Comedy of Errors,Comedy,Duke Solinus,1,1,9,"Have seal'd his rigorous statutes with their bloods,",male
5610,The Comedy of Errors,Comedy,Duke Solinus,1,1,10,Excludes all pity from our threatening looks.,male
5611,The Comedy of Errors,Comedy,Duke Solinus,1,1,11,"For, since the mortal and intestine jars",male
5612,The Comedy of Errors,Comedy,Duke Solinus,1,1,12,"'Twixt thy seditious countrymen and us,",male
5613,The Comedy of Errors,Comedy,Duke Solinus,1,1,13,It hath in solemn synods been decreed,male
5614,The Comedy of Errors,Comedy,Duke Solinus,1,1,14,"Both by the Syracusians and ourselves,",male
5615,The Comedy of Errors,Comedy,Duke Solinus,1,1,15,"To admit no traffic to our adverse towns Nay, more,",male
5616,The Comedy of Errors,Comedy,Duke Solinus,1,1,16,If any born at Ephesus be seen,male
5617,The Comedy of Errors,Comedy,Duke Solinus,1,1,17,At any Syracusian marts and fairs;,male
5618,The Comedy of Errors,Comedy,Duke Solinus,1,1,18,Again: if any Syracusian born,male
5619,The Comedy of Errors,Comedy,Duke Solinus,1,1,19,"Come to the bay of Ephesus, he dies,",male
5620,The Comedy of Errors,Comedy,Duke Solinus,1,1,20,"His goods confiscate to the duke's dispose,",male
5621,The Comedy of Errors,Comedy,Duke Solinus,1,1,21,"Unless a thousand marks be levied,",male
5622,The Comedy of Errors,Comedy,Duke Solinus,1,1,22,To quit the penalty and to ransom him.,male
5623,The Comedy of Errors,Comedy,Duke Solinus,1,1,23,"Thy substance, valued at the highest rate,",male
5624,The Comedy of Errors,Comedy,Duke Solinus,1,1,24,Cannot amount unto a hundred marks;,male
5625,The Comedy of Errors,Comedy,Duke Solinus,1,1,25,Therefore by law thou art condemned to die.,male
5626,The Comedy of Errors,Comedy,Aegeon,1,1,26,"Yet this my comfort: when your words are done,",male
5627,The Comedy of Errors,Comedy,Aegeon,1,1,27,My woes end likewise with the evening sun.,male
5628,The Comedy of Errors,Comedy,Duke Solinus,1,1,28,"Well, Syracusian, say in brief the cause",male
5629,The Comedy of Errors,Comedy,Duke Solinus,1,1,29,Why thou departed'st from thy native home,male
5630,The Comedy of Errors,Comedy,Duke Solinus,1,1,30,And for what cause thou camest to Ephesus.,male
5631,The Comedy of Errors,Comedy,Aegeon,1,1,31,A heavier task could not have been imposed,male
5632,The Comedy of Errors,Comedy,Aegeon,1,1,32,Than I to speak my griefs unspeakable:,male
5633,The Comedy of Errors,Comedy,Aegeon,1,1,33,"Yet, that the world may witness that my end",male
5634,The Comedy of Errors,Comedy,Aegeon,1,1,34,"Was wrought by nature, not by vile offence,",male
5635,The Comedy of Errors,Comedy,Aegeon,1,1,35,I'll utter what my sorrows give me leave.,male
5636,The Comedy of Errors,Comedy,Aegeon,1,1,36,"In Syracusa was I born, and wed",male
5637,The Comedy of Errors,Comedy,Aegeon,1,1,37,"Unto a woman, happy but for me,",male
5638,The Comedy of Errors,Comedy,Aegeon,1,1,38,"And by me, had not our hap been bad.",male
5639,The Comedy of Errors,Comedy,Aegeon,1,1,39,With her I lived in joy; our wealth increased,male
5640,The Comedy of Errors,Comedy,Aegeon,1,1,40,By prosperous voyages I often made,male
5641,The Comedy of Errors,Comedy,Aegeon,1,1,41,To Epidamnum; till my factor's death,male
5642,The Comedy of Errors,Comedy,Aegeon,1,1,42,And the great care of goods at random left,male
5643,The Comedy of Errors,Comedy,Aegeon,1,1,43,Drew me from kind embracements of my spouse:,male
5644,The Comedy of Errors,Comedy,Aegeon,1,1,44,From whom my absence was not six months old,male
5645,The Comedy of Errors,Comedy,Aegeon,1,1,45,"Before herself, almost at fainting under",male
5646,The Comedy of Errors,Comedy,Aegeon,1,1,46,"The pleasing punishment that women bear,",male
5647,The Comedy of Errors,Comedy,Aegeon,1,1,47,Had made provision for her following me,male
5648,The Comedy of Errors,Comedy,Aegeon,1,1,48,And soon and safe arrived where I was.,male
5649,The Comedy of Errors,Comedy,Aegeon,1,1,49,"There had she not been long, but she became",male
5650,The Comedy of Errors,Comedy,Aegeon,1,1,50,A joyful mother of two goodly sons;,male
5651,The Comedy of Errors,Comedy,Aegeon,1,1,51,"And, which was strange, the one so like the other,",male
5652,The Comedy of Errors,Comedy,Aegeon,1,1,52,As could not be distinguish'd but by names.,male
5653,The Comedy of Errors,Comedy,Aegeon,1,1,53,"That very hour, and in the self-same inn,",male
5654,The Comedy of Errors,Comedy,Aegeon,1,1,54,A meaner woman was delivered,male
5655,The Comedy of Errors,Comedy,Aegeon,1,1,55,"Of such a burden, male twins, both alike:",male
5656,The Comedy of Errors,Comedy,Aegeon,1,1,56,"Those,--for their parents were exceeding poor,--",male
5657,The Comedy of Errors,Comedy,Aegeon,1,1,57,I bought and brought up to attend my sons.,male
5658,The Comedy of Errors,Comedy,Aegeon,1,1,58,"My wife, not meanly proud of two such boys,",male
5659,The Comedy of Errors,Comedy,Aegeon,1,1,59,Made daily motions for our home return:,male
5660,The Comedy of Errors,Comedy,Aegeon,1,1,60,"Unwilling I agreed. Alas! too soon,",male
