Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
103089,Timon of Athens,Tragedy,Poet,1,1,1,"Good day, sir.",male
103090,Timon of Athens,Tragedy,Painter,1,1,2,I am glad you're well.,male
103091,Timon of Athens,Tragedy,Poet,1,1,3,I have not seen you long: how goes the world?,male
103092,Timon of Athens,Tragedy,Painter,1,1,4,"It wears, sir, as it grows.",male
103093,Timon of Athens,Tragedy,Poet,1,1,5,"Ay, that's well known:",male
103094,Timon of Athens,Tragedy,Poet,1,1,6,"But what particular rarity? what strange,",male
103095,Timon of Athens,Tragedy,Poet,1,1,7,"Which manifold record not matches? See,",male
103096,Timon of Athens,Tragedy,Poet,1,1,8,Magic of bounty! all these spirits thy power,male
103097,Timon of Athens,Tragedy,Poet,1,1,9,Hath conjured to attend. I know the merchant.,male
103098,Timon of Athens,Tragedy,Painter,1,1,10,I know them both; th' other's a jeweller.,male
103099,Timon of Athens,Tragedy,Merchant,1,1,11,"O, 'tis a worthy lord.",male
103100,Timon of Athens,Tragedy,Jeweller,1,1,12,"Nay, that's most fix'd.",male
103101,Timon of Athens,Tragedy,Merchant,1,1,13,"A most incomparable man, breathed, as it were,",male
103102,Timon of Athens,Tragedy,Merchant,1,1,14,To an untirable and continuate goodness:,male
103103,Timon of Athens,Tragedy,Merchant,1,1,15,He passes.,male
103104,Timon of Athens,Tragedy,Merchant,1,1,16,Jeweller:	I have a jewel here--,male
103105,Timon of Athens,Tragedy,Merchant,1,1,17,"O, pray, let's see't: for the Lord Timon, sir?",male
103106,Timon of Athens,Tragedy,Merchant,1,1,18,"Jeweller:	If he will touch the estimate: but, for that--",male
103107,Timon of Athens,Tragedy,Poet,1,1,19,[Reciting to himself]  'When we for recompense have,male
103108,Timon of Athens,Tragedy,Poet,1,1,20,"praised the vile,",male
103109,Timon of Athens,Tragedy,Poet,1,1,21,It stains the glory in that happy verse,male
103110,Timon of Athens,Tragedy,Poet,1,1,22,Which aptly sings the good.',male
103111,Timon of Athens,Tragedy,Merchant,1,1,23,'Tis a good form.,male
103112,Timon of Athens,Tragedy,Jeweller,1,1,24,"And rich: here is a water, look ye.",male
103113,Timon of Athens,Tragedy,Painter,1,1,25,"You are rapt, sir, in some work, some dedication",male
103114,Timon of Athens,Tragedy,Painter,1,1,26,To the great lord.,male
103115,Timon of Athens,Tragedy,Poet,1,1,27,A thing slipp'd idly from me.,male
103116,Timon of Athens,Tragedy,Poet,1,1,28,"Our poesy is as a gum, which oozes",male
103117,Timon of Athens,Tragedy,Poet,1,1,29,From whence 'tis nourish'd: the fire i' the flint,male
103118,Timon of Athens,Tragedy,Poet,1,1,30,Shows not till it be struck; our gentle flame,male
103119,Timon of Athens,Tragedy,Poet,1,1,31,Provokes itself and like the current flies,male
103120,Timon of Athens,Tragedy,Poet,1,1,32,Each bound it chafes. What have you there?,male
103121,Timon of Athens,Tragedy,Painter,1,1,33,"A picture, sir. When comes your book forth?",male
103122,Timon of Athens,Tragedy,Poet,1,1,34,"Upon the heels of my presentment, sir.",male
103123,Timon of Athens,Tragedy,Poet,1,1,35,Let's see your piece.,male
103124,Timon of Athens,Tragedy,Painter,1,1,36,'Tis a good piece.,male
103125,Timon of Athens,Tragedy,Poet,1,1,37,So 'tis: this comes off well and excellent.,male
103126,Timon of Athens,Tragedy,Painter,1,1,38,Indifferent.,male
103127,Timon of Athens,Tragedy,Poet,1,1,39,Admirable: how this grace,male
103128,Timon of Athens,Tragedy,Poet,1,1,40,Speaks his own standing! what a mental power,male
103129,Timon of Athens,Tragedy,Poet,1,1,41,This eye shoots forth! how big imagination,male
103130,Timon of Athens,Tragedy,Poet,1,1,42,Moves in this lip! to the dumbness of the gesture,male
103131,Timon of Athens,Tragedy,Poet,1,1,43,One might interpret.,male
103132,Timon of Athens,Tragedy,Painter,1,1,44,It is a pretty mocking of the life.,male
103133,Timon of Athens,Tragedy,Painter,1,1,45,Here is a touch; is't good?,male
103134,Timon of Athens,Tragedy,Poet,1,1,46,"I will say of it,",male
103135,Timon of Athens,Tragedy,Poet,1,1,47,It tutors nature: artificial strife,male
103136,Timon of Athens,Tragedy,Poet,1,1,48,"Lives in these touches, livelier than life.",male
103137,Timon of Athens,Tragedy,Painter,1,1,49,How this lord is follow'd!,male
103138,Timon of Athens,Tragedy,Poet,1,1,50,The senators of Athens: happy man!,male
103139,Timon of Athens,Tragedy,Painter,1,1,51,"Look, more!",male
103140,Timon of Athens,Tragedy,Poet,1,1,52,"You see this confluence, this great flood",male
103141,Timon of Athens,Tragedy,Poet,1,1,53,of visitors.,male
103142,Timon of Athens,Tragedy,Poet,1,1,54,"I have, in this rough work, shaped out a man,",male
103143,Timon of Athens,Tragedy,Poet,1,1,55,Whom this beneath world doth embrace and hug,male
103144,Timon of Athens,Tragedy,Poet,1,1,56,With amplest entertainment: my free drift,male
103145,Timon of Athens,Tragedy,Poet,1,1,57,"Halts not particularly, but moves itself",male
103146,Timon of Athens,Tragedy,Poet,1,1,58,In a wide sea of wax: no levell'd malice,male
103147,Timon of Athens,Tragedy,Poet,1,1,59,Infects one comma in the course I hold;,male
103148,Timon of Athens,Tragedy,Poet,1,1,60,"But flies an eagle flight, bold and forth on,",male
103149,Timon of Athens,Tragedy,Poet,1,1,61,Leaving no tract behind.,male
103150,Timon of Athens,Tragedy,Painter,1,1,62,How shall I understand you?,male
103151,Timon of Athens,Tragedy,Poet,1,1,63,I will unbolt to you.,male
103152,Timon of Athens,Tragedy,Poet,1,1,64,"You see how all conditions, how all minds,",male
103153,Timon of Athens,Tragedy,Poet,1,1,65,As well of glib and slippery creatures as,male
103154,Timon of Athens,Tragedy,Poet,1,1,66,"Of grave and austere quality, tender down",male
103155,Timon of Athens,Tragedy,Poet,1,1,67,Their services to Lord Timon: his large fortune,male
103156,Timon of Athens,Tragedy,Poet,1,1,68,Upon his good and gracious nature hanging,male
103157,Timon of Athens,Tragedy,Poet,1,1,69,Subdues and properties to his love and tendance,male
103158,Timon of Athens,Tragedy,Poet,1,1,70,"All sorts of hearts; yea, from the glass-faced flatterer",male
103159,Timon of Athens,Tragedy,Poet,1,1,71,"To Apemantus, that few things loves better",male
103160,Timon of Athens,Tragedy,Poet,1,1,72,Than to abhor himself: even he drops down,male
103161,Timon of Athens,Tragedy,Poet,1,1,73,"The knee before him, and returns in peace",male
103162,Timon of Athens,Tragedy,Poet,1,1,74,Most rich in Timon's nod.,male
103163,Timon of Athens,Tragedy,Painter,1,1,75,I saw them speak together.,male
103164,Timon of Athens,Tragedy,Poet,1,1,76,"Sir, I have upon a high and pleasant hill",male
103165,Timon of Athens,Tragedy,Poet,1,1,77,Feign'd Fortune to be throned: the base o' the mount,male
103166,Timon of Athens,Tragedy,Poet,1,1,78,"Is rank'd with all deserts, all kind of natures,",male
103167,Timon of Athens,Tragedy,Poet,1,1,79,That labour on the bosom of this sphere,male
103168,Timon of Athens,Tragedy,Poet,1,1,80,"To propagate their states: amongst them all,",male
103169,Timon of Athens,Tragedy,Poet,1,1,81,"Whose eyes are on this sovereign lady fix'd,",male
103170,Timon of Athens,Tragedy,Poet,1,1,82,"One do I personate of Lord Timon's frame,",male
103171,Timon of Athens,Tragedy,Poet,1,1,83,Whom Fortune with her ivory hand wafts to her;,male
103172,Timon of Athens,Tragedy,Poet,1,1,84,Whose present grace to present slaves and servants,male
103173,Timon of Athens,Tragedy,Poet,1,1,85,Translates his rivals.,male
103174,Timon of Athens,Tragedy,Painter,1,1,86,'Tis conceived to scope.,male
103175,Timon of Athens,Tragedy,Painter,1,1,87,"This throne, this Fortune, and this hill, methinks,",male
103176,Timon of Athens,Tragedy,Painter,1,1,88,"With one man beckon'd from the rest below,",male
103177,Timon of Athens,Tragedy,Painter,1,1,89,Bowing his head against the sleepy mount,male
103178,Timon of Athens,Tragedy,Painter,1,1,90,"To climb his happiness, would be well express'd",male
