Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
40305,Two Gentlemen of Verona,Comedy,Valentine,1,1,1,"Cease to persuade, my loving Proteus:",male
40306,Two Gentlemen of Verona,Comedy,Valentine,1,1,2,Home-keeping youth have ever homely wits.,male
40307,Two Gentlemen of Verona,Comedy,Valentine,1,1,3,Were't not affection chains thy tender days,male
40308,Two Gentlemen of Verona,Comedy,Valentine,1,1,4,"To the sweet glances of thy honour'd love,",male
40309,Two Gentlemen of Verona,Comedy,Valentine,1,1,5,I rather would entreat thy company,male
40310,Two Gentlemen of Verona,Comedy,Valentine,1,1,6,"To see the wonders of the world abroad,",male
40311,Two Gentlemen of Verona,Comedy,Valentine,1,1,7,"Than, living dully sluggardized at home,",male
40312,Two Gentlemen of Verona,Comedy,Valentine,1,1,8,Wear out thy youth with shapeless idleness.,male
40313,Two Gentlemen of Verona,Comedy,Valentine,1,1,9,"But since thou lovest, love still and thrive therein,",male
40314,Two Gentlemen of Verona,Comedy,Valentine,1,1,10,Even as I would when I to love begin.,male
40315,Two Gentlemen of Verona,Comedy,Proteus,1,1,11,"Wilt thou be gone? Sweet Valentine, adieu!",male
40316,Two Gentlemen of Verona,Comedy,Proteus,1,1,12,"Think on thy Proteus, when thou haply seest",male
40317,Two Gentlemen of Verona,Comedy,Proteus,1,1,13,Some rare note-worthy object in thy travel:,male
40318,Two Gentlemen of Verona,Comedy,Proteus,1,1,14,Wish me partaker in thy happiness,male
40319,Two Gentlemen of Verona,Comedy,Proteus,1,1,15,"When thou dost meet good hap; and in thy danger,",male
40320,Two Gentlemen of Verona,Comedy,Proteus,1,1,16,"If ever danger do environ thee,",male
40321,Two Gentlemen of Verona,Comedy,Proteus,1,1,17,"Commend thy grievance to my holy prayers,",male
40322,Two Gentlemen of Verona,Comedy,Proteus,1,1,18,"For I will be thy beadsman, Valentine.",male
40323,Two Gentlemen of Verona,Comedy,Valentine,1,1,19,And on a love-book pray for my success?,male
40324,Two Gentlemen of Verona,Comedy,Proteus,1,1,20,Upon some book I love I'll pray for thee.,male
40325,Two Gentlemen of Verona,Comedy,Valentine,1,1,21,That's on some shallow story of deep love:,male
40326,Two Gentlemen of Verona,Comedy,Valentine,1,1,22,How young Leander cross'd the Hellespont.,male
40327,Two Gentlemen of Verona,Comedy,Proteus,1,1,23,That's a deep story of a deeper love:,male
40328,Two Gentlemen of Verona,Comedy,Proteus,1,1,24,For he was more than over shoes in love.,male
40329,Two Gentlemen of Verona,Comedy,Valentine,1,1,25,"'Tis true; for you are over boots in love,",male
40330,Two Gentlemen of Verona,Comedy,Valentine,1,1,26,And yet you never swum the Hellespont.,male
40331,Two Gentlemen of Verona,Comedy,Proteus,1,1,27,"Over the boots? nay, give me not the boots.",male
40332,Two Gentlemen of Verona,Comedy,Valentine,1,1,28,"No, I will not, for it boots thee not.",male
40333,Two Gentlemen of Verona,Comedy,Proteus,1,1,29,What?,male
40334,Two Gentlemen of Verona,Comedy,Valentine,1,1,30,"To be in love, where scorn is bought with groans;",male
40335,Two Gentlemen of Verona,Comedy,Valentine,1,1,31,Coy looks with heart-sore sighs; one fading moment's mirth,male
40336,Two Gentlemen of Verona,Comedy,Valentine,1,1,32,"With twenty watchful, weary, tedious nights:",male
40337,Two Gentlemen of Verona,Comedy,Valentine,1,1,33,"If haply won, perhaps a hapless gain;",male
40338,Two Gentlemen of Verona,Comedy,Valentine,1,1,34,"If lost, why then a grievous labour won;",male
40339,Two Gentlemen of Verona,Comedy,Valentine,1,1,35,"However, but a folly bought with wit,",male
40340,Two Gentlemen of Verona,Comedy,Valentine,1,1,36,Or else a wit by folly vanquished.,male
40341,Two Gentlemen of Verona,Comedy,Proteus,1,1,37,"So, by your circumstance, you call me fool.",male
40342,Two Gentlemen of Verona,Comedy,Valentine,1,1,38,"So, by your circumstance, I fear you'll prove.",male
40343,Two Gentlemen of Verona,Comedy,Proteus,1,1,39,'Tis love you cavil at: I am not Love.,male
40344,Two Gentlemen of Verona,Comedy,Valentine,1,1,40,"Love is your master, for he masters you:",male
40345,Two Gentlemen of Verona,Comedy,Valentine,1,1,41,"And he that is so yoked by a fool,",male
40346,Two Gentlemen of Verona,Comedy,Valentine,1,1,42,"Methinks, should not be chronicled for wise.",male
40347,Two Gentlemen of Verona,Comedy,Proteus,1,1,43,"Yet writers say, as in the sweetest bud",male
40348,Two Gentlemen of Verona,Comedy,Proteus,1,1,44,"The eating canker dwells, so eating love",male
40349,Two Gentlemen of Verona,Comedy,Proteus,1,1,45,Inhabits in the finest wits of all.,male
40350,Two Gentlemen of Verona,Comedy,Valentine,1,1,46,"And writers say, as the most forward bud",male
40351,Two Gentlemen of Verona,Comedy,Valentine,1,1,47,"Is eaten by the canker ere it blow,",male
40352,Two Gentlemen of Verona,Comedy,Valentine,1,1,48,Even so by love the young and tender wit,male
40353,Two Gentlemen of Verona,Comedy,Valentine,1,1,49,"Is turn'd to folly, blasting in the bud,",male
40354,Two Gentlemen of Verona,Comedy,Valentine,1,1,50,Losing his verdure even in the prime,male
40355,Two Gentlemen of Verona,Comedy,Valentine,1,1,51,And all the fair effects of future hopes.,male
40356,Two Gentlemen of Verona,Comedy,Valentine,1,1,52,"But wherefore waste I time to counsel thee,",male
40357,Two Gentlemen of Verona,Comedy,Valentine,1,1,53,That art a votary to fond desire?,male
40358,Two Gentlemen of Verona,Comedy,Valentine,1,1,54,Once more adieu! my father at the road,male
40359,Two Gentlemen of Verona,Comedy,Valentine,1,1,55,"Expects my coming, there to see me shipp'd.",male
40360,Two Gentlemen of Verona,Comedy,Proteus,1,1,56,"And thither will I bring thee, Valentine.",male
40361,Two Gentlemen of Verona,Comedy,Valentine,1,1,57,"Sweet Proteus, no; now let us take our leave.",male
40362,Two Gentlemen of Verona,Comedy,Valentine,1,1,58,To Milan let me hear from thee by letters,male
40363,Two Gentlemen of Verona,Comedy,Valentine,1,1,59,"Of thy success in love, and what news else",male
40364,Two Gentlemen of Verona,Comedy,Valentine,1,1,60,Betideth here in absence of thy friend;,male
40365,Two Gentlemen of Verona,Comedy,Valentine,1,1,61,And likewise will visit thee with mine.,male
